,ZONA_O,ZONA_D,FE_VIA
10107,Vila Socorro,Parque Continental,125
10108,CEASA,Cidade Universitária,125
10109,Chácara Itaim,Cocaia,125
10110,Parque Continental,Jardim Luzitânia,125
10111,Parque Continental,Bussocaba City,125
10112,Luz,Brooklin,125
10113,Bexiga,Vila Ipojuca,125
10114,Parque Continental,Berrini,125
10115,Parque Continental,Ana Rosa,125
10116,Jardim Europa,Chácara Flora,125
10117,Parque Ibirapuera,Boaçava,125
10118,Chácara do Piqueri,Bela Vista,125
10119,Parque Continental,Jardim Paulistano,125
10120,Parque Ibirapuera,Cambuci,125
10121,Água Branca,Zaki Narchi,125
10122,Parque Continental,Parada Inglesa,125
10123,Vila Buarque,Parque Continental,125
10124,Jardim Luzitânia,Parque Continental,125
10125,Vila Carioca,Clínicas,125
10126,Parque Continental,Sé,125
10127,Bela Vista,Chácara do Piqueri,125
10128,Bexiga,Jardins,125
10129,Parque Continental,Vila Buarque,125
10130,Vila Missionária,Bexiga,125
10131,Clínicas,Vila Jaguara,125
10132,Luz,Santa Marina,125
10133,Cardoso de Almeida,Paraíso,125
10134,Pamplona,Praça João Mendes,125
10135,Bussocaba City,Parque Continental,125
10136,Perdizes,Brás,125
10137,Pinheiros,Tatuapé,125
10138,Bexiga,Vila Missionária,125
10139,Parque Dom Pedro,Vila Sônia,126
10140,Parque Dom Pedro,Vila Jaguara,126
10141,Terceira Divisão,Santo Amaro,126
10142,Saúde,Parque Ibirapuera,126
10143,Trianon,Vila Nova Conceição,126
10144,Alfredo Pujol,Bela Vista,126
10145,Chácara do Piqueri,Vila Carmosina,126
10146,Sumaré,Santa Ifigênia,126
10147,Real Parque,Vila Anglo Brasileira,126
10148,Terceira Divisão,Gasômetro,126
10149,Centro Cultural,Alfredo Pujol,126
10150,Alfredo Pujol,Granja Julieta,126
10151,Limão,Coroa,126
10152,Vila Mariana,Terceira Divisão,126
10153,Santo Amaro,Terceira Divisão,126
10154,Terceira Divisão,Água Funda,126
10155,Engenheiro Goulart,Luz,126
10156,Jardim Bom Clima,Vila Buarque,126
10157,Vila Socorro,Moema,126
10158,Luz,Engenheiro Goulart,126
10159,Pari,Fazenda Morumbi,126
10160,Campo Grande,Jaceguava,126
10161,Masp,Berrini,126
10162,Santa Ifigênia,Vila Monumento,126
10163,Masp,Vila Jaguara,126
10164,Vila Olímpia,Pires da Mota,126
10165,Alfredo Pujol,Parelheiros,126
10166,Vila Jaguara,Parque Dom Pedro,126
10167,Jardim Vitória Régia,Luz,126
10168,Sé,Vila Jaguara,126
10169,Santa Cruz,Liberdade,126
10170,Vila Buarque,Parelheiros,126
10171,Campo Belo,Vila Olímpia,126
10172,Vila Jaguara,Masp,126
10173,Pacaembu,Pompéia,126
10174,Tatuapé,Bela Vista,126
10175,Bela Vista,Gavião Peixoto,126
10176,Água Funda,Terceira Divisão,126
10177,Vila Carmosina,Chácara do Piqueri,126
10178,Vila Jaguara,Sé,126
10179,Parque Dom Pedro,Masp,126
10180,Rodrigues Alves,Glicério,126
10181,Jardim Helena,Vila Madalena,126
10182,Alto da Moóca,Vila Carioca,126
10183,Jardim Europa,Sé,126
10184,Parelheiros,Alfredo Pujol,126
10185,Chácara Klabin,Bela Vista,126
10186,Francisco Matarazzo,Jardim Vitória Régia,126
10187,Granja Julieta,Alfredo Pujol,126
10188,Regente Feijó,Casa Verde,127
10189,Regente Feijó,Vila Olímpia,127
10190,Regente Feijó,Água Branca,127
10191,Santa Cecília,Terceira Divisão,127
10192,Vila Olímpia,Regente Feijó,127
10193,Orfanato,Santa Marina,127
10194,Cardoso de Almeida,Granja Julieta,127
10195,Santa Marina,Orfanato,127
10196,Pinheiros,Regente Feijó,127
10197,Vila Gumercindo,Vila Nova Conceição,127
10198,Vila Nova Conceição,Vila Gumercindo,127
10199,Regente Feijó,Consolação,127
10200,Praça João Mendes,Regente Feijó,127
10201,Jabaquara,PUC,127
10202,Casa Verde,Regente Feijó,127
10203,Morumbi,Higienópolis,127
10204,Higienópolis,Morumbi,127
10205,Centro Empresarial,Regente Feijó,127
10206,Brás,Terceira Divisão,127
10207,Granja Julieta,Cardoso de Almeida,127
10208,Terceira Divisão,Paraíso,127
10209,Regente Feijó,Moema,127
10210,Morumbi,Oscar Freire,127
10211,Regente Feijó,Praça João Mendes,127
10212,Regente Feijó,Pinheiros,127
10213,Vila Olímpia,Brás,127
10214,Regente Feijó,Masp,127
10215,Regente Feijó,Centro Empresarial,127
10216,Vila Mariana,Vila São José,127
10217,República,Regente Feijó,127
10218,Terceira Divisão,Brás,127
10219,PUC,Jardim Jussara,127
10220,Rodrigues Alves,Jaguaré,127
10221,Lapa,Parque Continental,127
10222,Granja Julieta,Higienópolis,127
10223,Água Branca,Regente Feijó,127
10224,Planalto Paulista,Centro Cultural,127
10225,Jardim Paulistano,Alto da Lapa,127
10226,Pinheiros,Vila Socorro,127
10227,Moema,Regente Feijó,127
10228,Sé,Alto da Moóca,128
10229,Vila Independência,Chácara do Piqueri,128
10230,Parque Dom Pedro,Vila São José,128
10231,Jóquei Clube,Jardim Paulistano,128
10232,Tucuruvi,Centro Cultural,128
10233,Jaçanã,Parque Continental,128
10234,Limão,Vila Buarque,128
10235,Belém,Moóca,128
10236,Trianon,Parque Continental,128
10237,Ana Rosa,Marechal Deodoro,128
10238,Campinas,Parque Continental,128
10239,Moema,Vila Socorro,128
10240,Consolação,Chácara Klabin,128
10241,Clínicas,Limão,128
10242,Jardins,Santa Ifigênia,128
10243,Vila São Pedro,Barra Funda,128
10244,Vila Sabará,Sé,128
10245,Limão,Clínicas,128
10246,Aclimação,Santa Ifigênia,128
10247,Higienópolis,Parque Continental,128
10248,Vila Sônia,Parque Continental,128
10249,Celso Garcia,Parque Continental,128
10250,Moóca,Chácara Itaim,128
10251,Sacomã,Clínicas,128
10252,Parque Dom Pedro,Ponte Pequena,128
10253,Jaguaré,República,128
10254,Vila Independência,Luz,128
10255,Independência,Chácara Itaim,128
10256,Clínicas,Sacomã,128
10257,Sacomã,Vila Nova Conceição,128
10258,Parque Continental,Campinas,128
10259,Parque Continental,Celso Garcia,128
10260,Campinas,Vila São José,128
10261,Limão,Brasilândia,128
10262,República,Ponte Pequena,128
10263,Trianon,Vila Carioca,128
10264,Parque Continental,Jaçanã,128
10265,Barra Funda,Vila São Pedro,128
10266,Vila Sabará,Parque Continental,128
10267,Parque Continental,Trianon,128
10268,Chácara Itaim,Independência,128
10269,Vila São Pedro,Vila Suzana,128
10270,Parque Continental,Higienópolis,128
10271,Parque da Moóca,Vila Independência,128
10272,Parque Continental,Vila Sabará,128
10273,Vila Carioca,Trianon,128
10274,República,Jaguaré,128
10275,Pamplona,França Pinto,128
10276,Jurubatuba,Vila Olímpia,129
10277,Marechal Deodoro,Bexiga,129
10278,Vila Bertioga,Centro Cultural,129
10279,Vila Califórnia,Higienópolis,129
10280,Vila Bertioga,Treze de Maio,129
10281,Jurubatuba,Vila Bertioga,129
10282,Oriente,Sé,129
10283,Vila Bertioga,Parque São Jorge,129
10284,Vila Independência,Parque Peruche,129
10285,Vila Jaguara,Vila Bertioga,129
10286,Bexiga,Marechal Deodoro,129
10287,Parque São Lucas,Vila Bertioga,129
10288,Santa Cecília,Vila Califórnia,129
10289,Centro Cultural,Vila Bertioga,129
10290,Tucuruvi,Liberdade,129
10291,Bexiga,Saúde,129
10292,Vila São José,Alto da Moóca,129
10293,Santa Cecília,Jardins,129
10294,Vila Bertioga,Vila Jaguara,129
10295,Paraíso,Tatuapé,129
10296,Bela Vista,Vila Bertioga,129
10297,Vila Bertioga,Liberdade,129
10298,Limão,Liberdade,129
10299,Vila Bertioga,Jurubatuba,129
10300,Vila Bertioga,Clínicas,129
10301,Sacomã,Campinas,129
10302,Alfredo Pujol,Alto da Moóca,129
10303,Vila Califórnia,Saúde,129
10304,Vila Olímpia,Luz,129
10305,Vila Califórnia,Santa Cecília,129
10306,Vila Hamburguesa,Bexiga,129
10307,Treze de Maio,Vila Bertioga,129
10308,Vila Bertioga,Parque São Lucas,129
10309,Jardim Europa,São Carlos do Pinhal,129
10310,Saúde,Vila Califórnia,129
10311,Vila Bertioga,Bela Vista,129
10312,Jóquei Clube,Campo Grande,129
10313,Bexiga,Sacomã,129
10314,Liberdade,Vila Bertioga,129
10315,Vila Buarque,Butantã,129
10316,Vila Hamburguesa,Liberdade,129
10317,Vila Beatriz,Vila Buarque,129
10318,Praça João Mendes,Vila Bertioga,129
10319,Aclimação,Hélio Pelegrino,129
10320,Bexiga,Jardim Paulistano,129
10321,Vila Olímpia,Jurubatuba,129
10322,Luz,Vila Olímpia,129
10323,Jardins,Boaçava,129
10324,Vila Cordeiro,Vila Califórnia,129
10325,Ana Rosa,Jardins,129
10326,Campinas,Chácara Flora,129
10327,Alto da Moóca,Jardim Europa,129
10328,Clínicas,Vila Bertioga,129
10329,Campo Grande,Jóquei Clube,129
10330,Jardim Adalgiza,Sé,129
10331,Tremembé,Jardim Europa,129
10332,Santo Amaro,Ladeira da Memória,129
10333,Masp,Granja Julieta,129
10334,República,Diadema,129
10335,Água Branca,Bela Vista,130
10336,Marsilac,Centro Cultural,130
10337,Bela Vista,Rudge,130
10338,Joaquim Nabuco,Parque Interlagos,130
10339,Jabaquara,Jardim Maria do Carmo,130
10340,Penha,Jardim Luzitânia,130
10341,Quarta Parada,Vila Monumento,130
10342,Santa Terezinha,Centro Cultural,130
10343,Jardins,Jardim Previdência,130
10344,Vila Maria,Moóca,130
10345,Ana Rosa,Vila São José,130
10346,Jardim João XXIII,Parque Interlagos,130
10347,Berrini,Vila Suzana,130
10348,Sé,Penha,130
10349,Jardim da Saúde,Parque Interlagos,130
10350,Praça João Mendes,Vila Nova Conceição,130
10351,Vila Monumento,Quarta Parada,130
10352,Quarta Parada,Zaki Narchi,130
10353,Jardim Luzitânia,Penha,130
10354,Lapa,CEASA,130
10355,Cidade Universitária,Parque Interlagos,130
10356,FAAP,Ladeira da Memória,130
10357,Tucuruvi,São Carlos do Pinhal,130
10358,Bosque da Saúde,Centro Cultural,130
10359,Parque Interlagos,Vila Nova Conceição,130
10360,Vila Socorro,Chácara Itaim,130
10361,Parque Interlagos,Vila Hamburguesa,130
10362,Vila Zelina,Parque Dom Pedro,130
10363,Centro Cultural,Marsilac,130
10364,Parque da Moóca,Penha,130
10365,Parque Interlagos,Cidade Universitária,130
10366,Jardim Maria do Carmo,Jabaquara,130
10367,Santo Amaro,República,130
10368,Parque Dom Pedro,Vila Monumento,130
10369,Pacaembu,Sé,130
10370,República,Santo Amaro,130
10371,Parque Interlagos,Joaquim Nabuco,130
10372,Parque Interlagos,Jardim da Saúde,130
10373,Rudge,Praça João Mendes,130
10374,Parque Interlagos,Jardim Europa,130
10375,Campinas,Belenzinho,130
10376,Vila Hamburguesa,Parque Interlagos,130
10377,Marsilac,Chácara Flora,130
10378,Penha,Sé,130
10379,Chácara Itaim,Vila Suzana,130
10380,Marechal Deodoro,Tucuruvi,130
10381,Vila Ema,Mirandópolis,130
10382,Vila Nova Conceição,Parque Interlagos,130
10383,Penha,Vila Carmosina,130
10384,Belenzinho,Campinas,130
10385,Lapa de Baixo,Moóca,131
10386,Real Parque,Jardim Europa,131
10387,Tatuapé,Santa Ifigênia,131
10388,Jardim Maria do Carmo,Jaçanã,131
10389,Parque da Moóca,Belém,131
10390,Jaçanã,Jardim Maria do Carmo,131
10391,Perdizes,Luz,131
10392,Consolação,Parque Continental,131
10393,Rodrigues Alves,Campo Belo,131
10394,Vila Olímpia,Jardim Paulistano,131
10395,Barra Funda,Parque Continental,131
10396,Consolação,Planalto Paulista,131
10397,Parque Dom Pedro,Vila Mariana,131
10398,Aclimação,Sumaré,131
10399,Butantã,Santo Amaro,131
10400,Vila Guilherme,Oriente,131
10401,Ponte Pequena,Sé,131
10402,Campo Belo,Jóquei Clube,131
10403,Sumaré,Aclimação,131
10404,Planalto Paulista,Consolação,131
10405,Belém,Parque da Moóca,131
10406,Cidade Universitária,Chácara Flora,131
10407,Parque Ibirapuera,Pires da Mota,131
10408,Vila Madalena,Chácara Flora,131
10409,Vila Califórnia,Clínicas,131
10410,Ana Rosa,Perdizes,131
10411,Vila Independência,Ladeira da Memória,131
10412,Vila Califórnia,Bosque da Saúde,131
10413,Vila Califórnia,Bela Vista,131
10414,CEASA,Vila Beatriz,131
10415,Parque Continental,Consolação,131
10416,Jardim Europa,Jardim Luzitânia,131
10417,Bosque da Saúde,Vila Califórnia,131
10418,Cardoso de Almeida,Pacaembu,131
10419,Pinheiros,Rio Bonito,131
10420,Campinas,Vieira de Moraes,131
10421,Parque Continental,Barra Funda,131
10422,João Teodoro,Casa Verde Alta,132
10423,Jóquei Clube,Morumbi,132
10424,Parque São Jorge,Ladeira da Memória,132
10425,Vila Buarque,Portal do Morumbi,132
10426,Pari,Engenheiro Goulart,132
10427,Masp,Vila Beatriz,132
10428,Vila Monumento,Oscar Freire,132
10429,Alto da Moóca,Engenheiro Goulart,132
10430,Casa Verde Alta,João Teodoro,132
10431,Liberdade,Portal do Morumbi,132
10432,Parque São Jorge,Lapa,132
10433,Parque São Jorge,Vila Buarque,132
10434,Centro Cultural,Ladeira da Memória,132
10435,Campinas,Santa Ifigênia,132
10436,FAAP,Butantã,132
10437,Mirandópolis,Vila Ipojuca,132
10438,Bosque da Saúde,Masp,132
10439,Lapa,Parque São Jorge,132
10440,Vila Anastácio,Emissário,132
10441,Real Parque,Bandeirantes,132
10442,Jurubatuba,Vila Buarque,132
10443,Campinas,Jardim Previdência,132
10444,Tatuapé,Brooklin,132
10445,Pacaembu,Cardoso de Almeida,132
10446,Sumaré,Praça João Mendes,132
10447,Jóquei Clube,Portal do Morumbi,132
10448,Vila Buarque,Jurubatuba,132
10449,Sé,Engenheiro Goulart,132
10450,Barra Funda,Limão,132
10451,Jardim São Paulo,Tatuapé,132
10452,Ponte Pequena,Vieira de Moraes,132
10453,Oriente,Pires da Mota,132
10454,Masp,Bosque da Saúde,132
10455,Vila Cordeiro,Ladeira da Memória,132
10456,Bela Vista,Vila São José,132
10457,Ladeira da Memória,Vila Clementino,132
10458,Engenheiro Goulart,Alto da Moóca,132
10459,Vila Beatriz,Centro Empresarial,132
10460,Marsilac,Vila Miranda,132
10461,Engenheiro Goulart,Pari,132
10462,Tatuapé,Jardim São Paulo,132
10463,Vila São José,Bela Vista,132
10464,Zequinha de Abreu,Marechal Deodoro,132
10465,Parque da Moóca,Vila Buarque,132
10466,Butantã,Joaquim Nabuco,132
10467,Itaquera,Engenheiro Goulart,132
10468,Pires da Mota,Oriente,132
10469,Praça João Mendes,Sumaré,132
10470,Portal do Morumbi,Jóquei Clube,132
10471,Vila Clementino,Alfredo Pujol,132
10472,Portal do Morumbi,Vila Buarque,132
10473,Centro Empresarial,Vila Beatriz,132
10474,Jardim Previdência,Campinas,132
10475,Vila Beatriz,Higienópolis,132
10476,Masp,Raposo Tavares,132
10477,Jardim Previdência,Trianon,132
10478,Hélio Pelegrino,Vila Madalena,133
10479,São Miguel Paulista,Vila Maria,133
10480,Vila Bertioga,Sé,133
10481,Parque Dom Pedro,Belenzinho,133
10482,São Miguel Paulista,Higienópolis,133
10483,Bela Vista,São Miguel Paulista,133
10484,Higienópolis,São Miguel Paulista,133
10485,Vila São Pedro,Trianon,133
10486,Francisco Matarazzo,Pires da Mota,133
10487,Vila Anglo Brasileira,Jardim Europa,133
10488,Vila São José,Vila Madalena,133
10489,Ana Rosa,Higienópolis,133
10490,Pires da Mota,Jardim Aeroporto,133
10491,Pires da Mota,Trianon,133
10492,Rodrigues Alves,São Miguel Paulista,133
10493,Vila Bertioga,Vila Cordeiro,133
10494,Celso Garcia,Liberdade,133
10495,Parque Santa Madalena,Vila Bertioga,133
10496,Vila Madalena,Vila São José,133
10497,Pompéia,República,133
10498,Mirandópolis,Vila Independência,133
10499,Liberdade,Celso Garcia,133
10500,Vila Independência,Parque Dom Pedro,133
10501,Bresser,Luz,133
10502,Vila Ipojuca,Masp,133
10503,Berrini,FAAP,133
10504,São Miguel Paulista,Consolação,133
10505,São Miguel Paulista,Bela Vista,133
10506,Campinas,Vila Cordeiro,133
10507,Alto de Pinheiros,Mirandópolis,133
10508,Cidade Universitária,Vila Anglo Brasileira,133
10509,Jardim Aeroporto,Pires da Mota,133
10510,Vila Monumento,Tamanduateí,133
10511,São Miguel Paulista,Rodrigues Alves,133
10512,Chácara Flora,Marsilac,133
10513,Chácara Itaim,Pires da Mota,133
10514,Bela Vista,Centro Cultural,133
10515,Sé,Vila Bertioga,133
10516,Aclimação,Higienópolis,133
10517,Trianon,Vila São Pedro,133
10518,Masp,Tatuapé,133
10519,Fazenda Morumbi,Pinheiros,133
10520,Mirandópolis,Vila Califórnia,134
10521,Parque Ibirapuera,Ladeira da Memória,134
10522,Jóquei Clube,Campo Belo,134
10523,França Pinto,Jardim Previdência,134
10524,Vila Califórnia,Mirandópolis,134
10525,Pinheiros,Chácara Klabin,134
10526,Pompéia,Belenzinho,134
10527,Parque Dom Pedro,Vila Buarque,134
10528,Perus,Oscar Freire,134
10529,Belém,Pari,134
10530,Vila Califórnia,Cupecê,134
10531,Butantã,Fazenda Morumbi,134
10532,Luz,Vila Nova Conceição,134
10533,Consolação,Tremembé,134
10534,Jardim Luzitânia,Brás,134
10535,Vila Anglo Brasileira,Boaçava,134
10536,Vila Mariana,Vila Califórnia,134
10537,Ponte Pequena,Marechal Deodoro,134
10538,Morumbi,PUC,134
10539,Ladeira da Memória,Parque Ibirapuera,134
10540,São Carlos do Pinhal,Vila Beatriz,134
10541,Paraíso,Penha,134
10542,Ana Rosa,Trianon,134
10543,Vila Jaguara,Penha,134
10544,Bosque da Saúde,Oriente,134
10545,Vila São José,Vila Buarque,134
10546,Fazenda Morumbi,Vila Madalena,134
10547,Pari,Belém,134
10548,Vila Buarque,Vila São José,134
10549,Sumaré,Paraíso,134
10550,República,Jardins,134
10551,Marechal Deodoro,Berrini,134
10552,Jardins,Masp,134
10553,Cupecê,Vila Califórnia,134
10554,Jardim Europa,Ana Rosa,134
10555,Belenzinho,Pompéia,134
10556,Jardim Luzitânia,São Carlos do Pinhal,134
10557,Marechal Deodoro,Artur Alvim,134
10558,Tremembé,Consolação,134
10559,Tremembé,Sé,134
10560,Pari,Granja Julieta,135
10561,Pompéia,Vila Hamburguesa,135
10562,Cambuci,Tatuapé,135
10563,Jardim da Saúde,Jardim Luzitânia,135
10564,Pacaembu,Higienópolis,135
10565,Granja Julieta,Pari,135
10566,Vila Califórnia,Vila Clementino,135
10567,Chácara do Piqueri,Pari,135
10568,São Carlos do Pinhal,Vila Olímpia,135
10569,Praça João Mendes,Consolação,135
10570,Sumaré,Granja Julieta,135
10571,Vila Hamburguesa,Lapa de Baixo,135
10572,Masp,Bandeirantes,135
10573,República,Vila Hamburguesa,135
10574,Jabaquara,Bandeirantes,135
10575,Vila Califórnia,Carandiru,135
10576,Bela Aliança,Pinheiros,135
10577,Liberdade,Cardoso de Almeida,135
10578,Carandiru,Vila Califórnia,135
10579,Vila Clementino,Vila Califórnia,135
10580,Jóquei Clube,Vila Beatriz,135
10581,Bandeirantes,Bela Vista,135
10582,Chácara do Piqueri,Bresser,136
10583,Vila Socorro,Centro Cultural,136
10584,Vieira de Moraes,Parque Ibirapuera,136
10585,República,Ana Rosa,136
10586,Tatuapé,Pari,136
10587,Chácara do Piqueri,Cangaíba,136
10588,Vila Sabará,Vila Buarque,136
10589,Cupecê,Alto da Moóca,136
10590,Chácara do Piqueri,São Carlos do Pinhal,136
10591,Jardim Vitória Régia,Vieira de Moraes,136
10592,São Carlos do Pinhal,Chácara do Piqueri,136
10593,Jabaquara,Vila Monumento,136
10594,São Mateus,Chácara do Piqueri,136
10595,Pinheiros,Santa Cruz,136
10596,Parque Dom Pedro,França Pinto,136
10597,Oriente,Moóca,136
10598,Vila Madalena,Bela Aliança,136
10599,Alto da Lapa,Chácara Itaim,136
10600,Regente Feijó,Cidade Universitária,136
10601,Joaquim Nabuco,Regente Feijó,136
10602,Campinas,Vila Leopoldina,136
10603,Rudge,Santa Terezinha,136
10604,Pires da Mota,Consolação,136
10605,Moóca,Vila Guilherme,136
10606,Regente Feijó,Parque Novo Mundo,136
10607,Celso Garcia,Regente Feijó,136
10608,França Pinto,Parque Dom Pedro,136
10609,Vieira de Moraes,Jardim Vitória Régia,136
10610,Regente Feijó,Joaquim Nabuco,136
10611,Regente Feijó,Granja Julieta,136
10612,Alto da Moóca,Santa Cecília,136
10613,Brooklin,Butantã,136
10614,Cidade Universitária,Regente Feijó,136
10615,Pinheiros,Vila Clementino,136
10616,Pompéia,Cidade Universitária,136
10617,Pinheiros,São Carlos do Pinhal,136
10618,Cangaíba,Chácara do Piqueri,136
10619,Joaquim Nabuco,Praça João Mendes,136
10620,Vila Olímpia,Sé,136
10621,Vila Monumento,Jabaquara,136
10622,Granja Julieta,Lapa,136
10623,Jurubatuba,Regente Feijó,136
10624,Tamanduateí,Alto da Moóca,136
10625,Granja Julieta,Butantã,136
10626,Parque Novo Mundo,Regente Feijó,136
10627,Regente Feijó,Celso Garcia,136
10628,Centro Cultural,Vila Mariana,136
10629,Mandaqui,Chácara do Piqueri,136
10630,Chácara do Piqueri,Mandaqui,136
10631,Regente Feijó,Liberdade,136
10632,Barra Funda,Chácara do Piqueri,136
10633,Regente Feijó,Jurubatuba,136
10634,Granja Julieta,Regente Feijó,136
10635,São Miguel Paulista,Lapa de Baixo,137
10636,Clínicas,Chácara Flora,137
10637,Chácara Klabin,Vila Madalena,137
10638,Sé,Portal do Morumbi,137
10639,São Miguel Paulista,Trianon,137
10640,Vila Califórnia,São Miguel Paulista,137
10641,Casa Verde,Ermelino Matarazzo,137
10642,São Miguel Paulista,Paraíso,137
10643,Vila Califórnia,Praça João Mendes,137
10644,Jardim Adalgiza,Campo Grande,137
10645,Trianon,São Miguel Paulista,137
10646,São Miguel Paulista,Santa Cruz,137
10647,Jardim Guapira,Horto Florestal,137
10648,Vila Madalena,Chácara Klabin,137
10649,Vila Zatt,São Miguel Paulista,137
10650,Jardim Adalgiza,Penha,137
10651,Penha,Cachoeirinha,137
10652,Penha,Belém,137
10653,Paraíso,São Miguel Paulista,137
10654,Campo Grande,Jardim Adalgiza,137
10655,Jurubatuba,Vila Clementino,137
10656,São Miguel Paulista,Vila Zatt,137
10657,São Miguel Paulista,Ana Rosa,137
10658,Água Branca,Penha,137
10659,Gleba do Pessêgo,Regente Feijó,137
10660,Santa Cruz,São Miguel Paulista,137
10661,Penha,Santa Cecília,137
10662,Ladeira da Memória,Portal do Morumbi,137
10663,Consolação,Parelheiros,137
10664,Horto Florestal,Jardim Guapira,137
10665,Chácara Flora,Clínicas,137
10666,Planalto Paulista,Pamplona,137
10667,Vila Clementino,Jurubatuba,137
10668,Lapa de Baixo,São Miguel Paulista,137
10669,Limão,Mirandópolis,137
10670,Cachoeirinha,Penha,137
10671,Morumbi,Parque Ibirapuera,137
10672,Santa Cecília,Penha,137
10673,Jardim Aeroporto,Pinheiros,137
10674,Chácara Itaim,Penha,137
10675,Ermelino Matarazzo,Casa Verde,137
10676,Penha,Água Branca,137
10677,Vila Clementino,Penha,137
10678,Regente Feijó,Gleba do Pessêgo,137
10679,Chácara Klabin,Parque da Moóca,138
10680,Ana Rosa,Campo Grande,138
10681,Zaki Narchi,Jardim Japão,138
10682,França Pinto,Praça João Mendes,138
10683,Jurubatuba,Centro Cultural,138
10684,Campo Grande,República,138
10685,Chácara Klabin,Independência,138
10686,Oscar Freire,Joaquim Nabuco,138
10687,Jardim das Pedras,Masp,138
10688,Parque da Moóca,Campo Grande,138
10689,Campo Grande,Rodrigues Alves,138
10690,Vila Gustavo,Francisco Matarazzo,138
10691,Brooklin,Campo Grande,138
10692,Parque Peruche,Moóca,138
10693,Chácara Klabin,Parque Ibirapuera,138
10694,Jardim São Paulo,Parque São Jorge,138
10695,Morumbi,Raposo Tavares,138
10696,Santa Terezinha,Parque Dom Pedro,138
10697,Pires da Mota,Jardim das Pedras,138
10698,Rodrigues Alves,Campo Grande,138
10699,Jardim São Paulo,Sacomã,138
10700,Sacomã,Jardim São Paulo,138
10701,Masp,Jardim das Pedras,138
10702,Independência,Chácara Klabin,138
10703,Parque São Jorge,Cidade Universitária,138
10704,Jardim Japão,Zaki Narchi,138
10705,Vila Ipojuca,Santa Marina,138
10706,Parque Ibirapuera,Chácara Klabin,138
10707,Vila Leopoldina,Vila Buarque,138
10708,Masp,Jardim São Paulo,138
10709,Bresser,Chácara do Piqueri,138
10710,Bandeirantes,Tatuapé,138
10711,Jardim Miriam,Campo Grande,138
10712,Vila Beatriz,Butantã,138
10713,Jardim Luzitânia,Jardim Caxingui,138
10714,Clínicas,Jardim São Paulo,138
10715,Cidade Vargas,Jardim das Pedras,138
10716,FAAP,Jardim São Paulo,138
10717,Jardins,Jardim São Paulo,138
10718,Centro Cultural,Jardim das Pedras,138
10719,Parque São Jorge,Jardim São Paulo,138
10720,Saúde,Jardim das Pedras,138
10721,Água Branca,Campo Grande,138
10722,Jardim das Pedras,Cidade Vargas,138
10723,Jardim São Paulo,Jardins,138
10724,República,Campo Grande,138
10725,Centro Cultural,Campo Grande,138
10726,Joaquim Nabuco,Chácara Klabin,138
10727,Centro Empresarial,Água Branca,138
10728,Jardim das Pedras,Pires da Mota,138
10729,Jardim das Pedras,Saúde,138
10730,Campo Grande,Jardim Miriam,138
10731,Jardim São Paulo,FAAP,138
10732,Emissário,Fazenda Morumbi,138
10733,Jardim Aeroporto,Campo Grande,138
10734,Jardim São Paulo,Masp,138
10735,Pinheiros,República,138
10736,Vila Monumento,Jardim São Paulo,138
10737,Brás,Jardim São Paulo,138
10738,Moóca,Jardim das Pedras,138
10739,Vila Anglo Brasileira,República,138
10740,Jardim Luzitânia,Cupecê,138
10741,Jardim Represa,Moóca,138
10742,Campo Grande,Ana Rosa,138
10743,Mirandópolis,Pompéia,138
10744,Liberdade,Tremembé,138
10745,Jardim Europa,Jardim Maria do Carmo,139
10746,Alto do Ipiranga,Tatuapé,139
10747,Jardim Maria do Carmo,Bresser,139
10748,Jardim Maria do Carmo,Alto de Pinheiros,139
10749,Jardim Maria do Carmo,Cocaia,139
10750,Anhanguera,Pirituba,139
10751,Campo Grande,Cidade Universitária,139
10752,Alto da Lapa,Lapa de Baixo,139
10753,Pamplona,Hélio Pelegrino,139
10754,Vila Olímpia,Trianon,139
10755,Vila São José,Chácara Itaim,139
10756,Jardim da Saúde,Campinas,139
10757,Vila São José,Sé,139
10758,Santa Ifigênia,Granja Julieta,139
10759,Bexiga,Canindé,139
10760,Chácara do Piqueri,Vila Buarque,139
10761,Bexiga,Grajaú,139
10762,Cidade Satélite,Brás,139
10763,Granja Julieta,PUC,139
10764,Morumbi,Alto de Pinheiros,139
10765,Cocaia,Cidade Satélite,139
10766,São Mateus,Jardim Colorado,139
10767,Emissário,Alto da Lapa,139
10768,Bexiga,Vila Olímpia,139
10769,Canindé,Bexiga,139
10770,Masp,Moóca,139
10771,Orfanato,Cidade Satélite,139
10772,Joaquim Nabuco,Masp,139
10773,Jardim Vitória Régia,Jardim Maria do Carmo,139
10774,Vila Clementino,Jardins,139
10775,Oscar Freire,Jardim Vitória Régia,139
10776,Berrini,Bela Vista,139
10777,Água Rasa,Cidade Satélite,139
10778,Jardim Colorado,Cidade Satélite,139
10779,Vila Hamburguesa,Sumaré,139
10780,Parque Dom Pedro,Cardoso de Almeida,139
10781,Paraíso,Belenzinho,139
10782,República,Chácara Flora,139
10783,Cocaia,Jardim Maria do Carmo,139
10784,Campinas,Santa Cruz,139
10785,Vila Cordeiro,Cidade Universitária,139
10786,Vila Nova Conceição,Vila Buarque,139
10787,Bandeirantes,Jurubatuba,139
