,ZONA_O,ZONA_D,FE_VIA
153,Emissário,Jardim Luzitânia,3
154,Moóca,Vila Jacuí,3
155,Alfredo Pujol,Pacaembu,3
156,Sumaré,França Pinto,3
157,Guarapiranga,Tietê,4
158,Tietê,Celso Garcia,4
159,Canindé,Guarapiranga,4
160,Vila Hamburguesa,Pacaembu,4
161,Parque Ibirapuera,Tietê,4
162,Vieira de Moraes,Barra Funda,4
163,França Pinto,Barra Funda,4
164,Moema,Tietê,4
165,Tietê,Joaquim Nabuco,4
166,Tietê,Ladeira da Memória,4
167,Jardim Luzitânia,Vila Ipojuca,4
168,Barra Funda,Treze de Maio,4
169,Santa Ifigênia,Pacaembu,4
170,Pari,Barra Funda,4
171,Tietê,Vila São José,4
172,Tietê,Perdizes,4
173,Cupecê,Tietê,4
174,Barra Funda,Vieira de Moraes,4
175,Treze de Maio,Barra Funda,4
176,Barra Funda,Jaçanã,4
177,Rodrigues Alves,Tietê,4
178,Tietê,Vila Carrão,4
179,Pacaembu,Vila Hamburguesa,4
180,Tietê,Rodrigues Alves,4
181,Luz,Santana,4
182,Celso Garcia,Tietê,4
183,Clínicas,Cidade Vargas,4
184,Alto da Lapa,Jardim Luzitânia,4
185,Diadema,Tietê,4
186,Tietê,Chácara Itaim,4
187,Jardim Brasil,Tatuapé,4
188,Sé,Berrini,5
189,Cidade Vargas,Barra Funda,5
190,Barra Funda,Vila Miranda,5
191,Jóquei Clube,Parque Peruche,5
192,Vila Miranda,Barra Funda,5
193,Tatuapé,Barra Funda,5
194,Vila Jaguara,Ladeira da Memória,5
195,Campinas,Barra Funda,5
196,Santa Cecília,Barra Funda,5
197,Barra Funda,Bom Retiro,5
198,Parque Peruche,Jóquei Clube,5
199,Campinas,João Teodoro,5
200,Cidade Nitro-Operária,Jardim Luzitânia,5
201,Barra Funda,Campinas,5
202,Cambuci,Jardim Luzitânia,5
203,Barra Funda,Chácara Itaim,5
204,Barra Funda,Glicério,5
205,Barra Funda,Santa Cruz,5
206,Jardim da Glória,Jóquei Clube,5
207,Berrini,Barra Funda,5
208,Cidade Universitária,Barra Funda,5
209,Barra Funda,Perdizes,5
210,Barra Funda,Cidade Universitária,5
211,Jardim Luzitânia,Vila Jacuí,5
212,Barra Funda,Tatuapé,5
213,Glicério,Barra Funda,5
214,Jóquei Clube,Jardim da Glória,5
215,Barra Funda,Vila Buarque,5
216,Jardim Luzitânia,Cambuci,5
217,Carandiru,Jóquei Clube,5
218,PUC,Jardim Guapira,6
219,Canindé,Tatuapé,6
220,Canindé,São Carlos do Pinhal,6
221,Planalto Paulista,João Teodoro,6
222,Canindé,Saúde,6
223,Vila Buarque,Barra Funda,6
224,Santo Amaro,Jardim Luzitânia,6
225,Canindé,Santa Cruz,6
