id_radar,id_acidente_500m,id_acidente_1000m,id_acidente_2000m
492,D021800010,D021802894,D021802184
492,D021800010,D021802894,D021802185
492,D021800010,D021802894,D021802223
492,D021800010,D021802894,D021802251
492,D021800010,D021802894,D021802421
492,D021800010,D021802894,D021802768
492,D021800010,D021802894,D021802894
492,D021800010,D021802894,D021802939
492,D021800529,D021800010,D021800010
492,D021800529,D021800010,D021800011
492,D021800529,D021800010,D021800224
492,D021800529,D021800010,D021800529
492,D021800529,D021800010,D021800728
492,D021800529,D021800010,D021800735
492,D021800529,D021800010,D021800855
492,D021800529,D021800010,D021800992
492,D021800529,D021800010,D021801052
492,D021800529,D021800010,D021801372
492,D021800529,D021800010,D021801514
492,D021800529,D021800010,D021801616
492,D021800529,D021800010,D021801661
492,D021800529,D021800010,D021801905
492,D021800529,D021800010,D021802100
492,D021800529,D021800010,D021802184
492,D021800529,D021800010,D021802185
492,D021800529,D021800010,D021802223
492,D021800529,D021800010,D021802251
492,D021800529,D021800010,D021802421
492,D021800529,D021800010,D021802768
492,D021800529,D021800010,D021802894
492,D021800529,D021800010,D021802939
492,D021800529,D021800224,D021800010
492,D021800529,D021800224,D021800011
492,D021800529,D021800224,D021800224
492,D021800529,D021800224,D021800529
492,D021800529,D021800224,D021800728
492,D021800529,D021800224,D021800735
492,D021800529,D021800224,D021800855
492,D021800529,D021800224,D021800992
492,D021800529,D021800224,D021801052
492,D021800529,D021800224,D021801372
492,D021800529,D021800224,D021801514
492,D021800529,D021800224,D021801616
492,D021800529,D021800224,D021801661
492,D021800529,D021800224,D021801905
492,D021800529,D021800224,D021802100
492,D021800529,D021800224,D021802184
492,D021800529,D021800224,D021802185
492,D021800529,D021800224,D021802223
492,D021800529,D021800224,D021802251
492,D021800529,D021800224,D021802421
492,D021800529,D021800224,D021802768
492,D021800529,D021800224,D021802894
492,D021800529,D021800224,D021802939
492,D021800529,D021800529,D021800010
492,D021800529,D021800529,D021800011
492,D021800529,D021800529,D021800224
492,D021800529,D021800529,D021800529
492,D021800529,D021800529,D021800728
492,D021800529,D021800529,D021800735
492,D021800529,D021800529,D021800855
492,D021800529,D021800529,D021800992
492,D021800529,D021800529,D021801052
492,D021800529,D021800529,D021801372
492,D021800529,D021800529,D021801514
492,D021800529,D021800529,D021801616
492,D021800529,D021800529,D021801661
492,D021800529,D021800529,D021801905
492,D021800529,D021800529,D021802100
492,D021800529,D021800529,D021802184
492,D021800529,D021800529,D021802185
492,D021800529,D021800529,D021802223
492,D021800529,D021800529,D021802251
492,D021800529,D021800529,D021802421
492,D021800529,D021800529,D021802768
492,D021800529,D021800529,D021802894
492,D021800529,D021800529,D021802939
492,D021800529,D021802251,D021800010
492,D021800529,D021802251,D021800011
492,D021800529,D021802251,D021800224
492,D021800529,D021802251,D021800529
492,D021800529,D021802251,D021800728
492,D021800529,D021802251,D021800735
492,D021800529,D021802251,D021800855
492,D021800529,D021802251,D021800992
492,D021800529,D021802251,D021801052
492,D021800529,D021802251,D021801372
492,D021800529,D021802251,D021801514
492,D021800529,D021802251,D021801616
492,D021800529,D021802251,D021801661
492,D021800529,D021802251,D021801905
492,D021800529,D021802251,D021802100
492,D021800529,D021802251,D021802184
492,D021800529,D021802251,D021802185
492,D021800529,D021802251,D021802223
492,D021800529,D021802251,D021802251
492,D021800529,D021802251,D021802421
492,D021800529,D021802251,D021802768
492,D021800529,D021802251,D021802894
492,D021800529,D021802251,D021802939
492,D021800529,D021802894,D021800010
492,D021800529,D021802894,D021800011
492,D021800529,D021802894,D021800224
492,D021800529,D021802894,D021800529
492,D021800529,D021802894,D021800728
492,D021800529,D021802894,D021800735
492,D021800529,D021802894,D021800855
492,D021800529,D021802894,D021800992
492,D021800529,D021802894,D021801052
492,D021800529,D021802894,D021801372
492,D021800529,D021802894,D021801514
492,D021800529,D021802894,D021801616
492,D021800529,D021802894,D021801661
492,D021800529,D021802894,D021801905
492,D021800529,D021802894,D021802100
492,D021800529,D021802894,D021802184
492,D021800529,D021802894,D021802185
492,D021800529,D021802894,D021802223
492,D021800529,D021802894,D021802251
492,D021800529,D021802894,D021802421
492,D021800529,D021802894,D021802768
492,D021800529,D021802894,D021802894
492,D021800529,D021802894,D021802939
814,D021800026,D021800026,D021800026
814,D021800026,D021800026,D021800298
814,D021800026,D021800026,D021800843
814,D021800026,D021800026,D021801252
814,D021800026,D021800026,D021801680
814,D021800026,D021800026,D021802116
814,D021800026,D021800026,D021802192
814,D021800026,D021800026,D021802252
814,D021800026,D021800026,D021802315
814,D021800026,D021800026,D021802559
814,D021800026,D021800026,D021802600
814,D021800026,D021800026,D021802716
814,D021800026,D021800026,D021802723
814,D021800026,D021800026,D021802929
814,D021800026,D021800026,D021802959
814,D021800026,D021800298,D021800026
814,D021800026,D021800298,D021800298
814,D021800026,D021800298,D021800843
814,D021800026,D021800298,D021801252
814,D021800026,D021800298,D021801680
814,D021800026,D021800298,D021802116
814,D021800026,D021800298,D021802192
814,D021800026,D021800298,D021802252
814,D021800026,D021800298,D021802315
814,D021800026,D021800298,D021802559
814,D021800026,D021800298,D021802600
814,D021800026,D021800298,D021802716
814,D021800026,D021800298,D021802723
814,D021800026,D021800298,D021802929
814,D021800026,D021800298,D021802959
814,D021800026,D021800843,D021800026
814,D021800026,D021800843,D021800298
814,D021800026,D021800843,D021800843
814,D021800026,D021800843,D021801252
814,D021800026,D021800843,D021801680
814,D021800026,D021800843,D021802116
814,D021800026,D021800843,D021802192
814,D021800026,D021800843,D021802252
814,D021800026,D021800843,D021802315
814,D021800026,D021800843,D021802559
814,D021800026,D021800843,D021802600
814,D021800026,D021800843,D021802716
814,D021800026,D021800843,D021802723
814,D021800026,D021800843,D021802929
814,D021800026,D021800843,D021802959
814,D021800026,D021802116,D021800026
814,D021800026,D021802116,D021800298
814,D021800026,D021802116,D021800843
814,D021800026,D021802116,D021801252
814,D021800026,D021802116,D021801680
814,D021800026,D021802116,D021802116
814,D021800026,D021802116,D021802192
814,D021800026,D021802116,D021802252
814,D021800026,D021802116,D021802315
814,D021800026,D021802116,D021802559
814,D021800026,D021802116,D021802600
814,D021800026,D021802116,D021802716
814,D021800026,D021802116,D021802723
814,D021800026,D021802116,D021802929
814,D021800026,D021802116,D021802959
814,D021800026,D021802252,D021800026
814,D021800026,D021802252,D021800298
814,D021800026,D021802252,D021800843
814,D021800026,D021802252,D021801252
814,D021800026,D021802252,D021801680
814,D021800026,D021802252,D021802116
814,D021800026,D021802252,D021802192
814,D021800026,D021802252,D021802252
814,D021800026,D021802252,D021802315
814,D021800026,D021802252,D021802559
814,D021800026,D021802252,D021802600
814,D021800026,D021802252,D021802716
814,D021800026,D021802252,D021802723
814,D021800026,D021802252,D021802929
814,D021800026,D021802252,D021802959
814,D021800026,D021802600,D021800026
814,D021800026,D021802600,D021800298
814,D021800026,D021802600,D021800843
814,D021800026,D021802600,D021801252
814,D021800026,D021802600,D021801680
814,D021800026,D021802600,D021802116
814,D021800026,D021802600,D021802192
814,D021800026,D021802600,D021802252
814,D021800026,D021802600,D021802315
814,D021800026,D021802600,D021802559
814,D021800026,D021802600,D021802600
814,D021800026,D021802600,D021802716
814,D021800026,D021802600,D021802723
814,D021800026,D021802600,D021802929
814,D021800026,D021802600,D021802959
814,D021800026,D021802723,D021800026
814,D021800026,D021802723,D021800298
814,D021800026,D021802723,D021800843
814,D021800026,D021802723,D021801252
814,D021800026,D021802723,D021801680
814,D021800026,D021802723,D021802116
814,D021800026,D021802723,D021802192
814,D021800026,D021802723,D021802252
814,D021800026,D021802723,D021802315
814,D021800026,D021802723,D021802559
814,D021800026,D021802723,D021802600
814,D021800026,D021802723,D021802716
814,D021800026,D021802723,D021802723
814,D021800026,D021802723,D021802929
814,D021800026,D021802723,D021802959
814,D021800298,D021800026,D021800026
814,D021800298,D021800026,D021800298
814,D021800298,D021800026,D021800843
814,D021800298,D021800026,D021801252
814,D021800298,D021800026,D021801680
814,D021800298,D021800026,D021802116
814,D021800298,D021800026,D021802192
814,D021800298,D021800026,D021802252
814,D021800298,D021800026,D021802315
814,D021800298,D021800026,D021802559
814,D021800298,D021800026,D021802600
814,D021800298,D021800026,D021802716
814,D021800298,D021800026,D021802723
814,D021800298,D021800026,D021802929
814,D021800298,D021800026,D021802959
814,D021800298,D021800298,D021800026
814,D021800298,D021800298,D021800298
814,D021800298,D021800298,D021800843
814,D021800298,D021800298,D021801252
814,D021800298,D021800298,D021801680
814,D021800298,D021800298,D021802116
814,D021800298,D021800298,D021802192
814,D021800298,D021800298,D021802252
814,D021800298,D021800298,D021802315
814,D021800298,D021800298,D021802559
814,D021800298,D021800298,D021802600
814,D021800298,D021800298,D021802716
814,D021800298,D021800298,D021802723
814,D021800298,D021800298,D021802929
814,D021800298,D021800298,D021802959
814,D021800298,D021800843,D021800026
814,D021800298,D021800843,D021800298
814,D021800298,D021800843,D021800843
814,D021800298,D021800843,D021801252
814,D021800298,D021800843,D021801680
814,D021800298,D021800843,D021802116
814,D021800298,D021800843,D021802192
814,D021800298,D021800843,D021802252
814,D021800298,D021800843,D021802315
814,D021800298,D021800843,D021802559
814,D021800298,D021800843,D021802600
814,D021800298,D021800843,D021802716
814,D021800298,D021800843,D021802723
814,D021800298,D021800843,D021802929
814,D021800298,D021800843,D021802959
814,D021800298,D021802116,D021800026
814,D021800298,D021802116,D021800298
814,D021800298,D021802116,D021800843
814,D021800298,D021802116,D021801252
814,D021800298,D021802116,D021801680
814,D021800298,D021802116,D021802116
814,D021800298,D021802116,D021802192
814,D021800298,D021802116,D021802252
814,D021800298,D021802116,D021802315
814,D021800298,D021802116,D021802559
814,D021800298,D021802116,D021802600
814,D021800298,D021802116,D021802716
814,D021800298,D021802116,D021802723
814,D021800298,D021802116,D021802929
814,D021800298,D021802116,D021802959
814,D021800298,D021802252,D021800026
814,D021800298,D021802252,D021800298
814,D021800298,D021802252,D021800843
814,D021800298,D021802252,D021801252
814,D021800298,D021802252,D021801680
814,D021800298,D021802252,D021802116
814,D021800298,D021802252,D021802192
814,D021800298,D021802252,D021802252
814,D021800298,D021802252,D021802315
814,D021800298,D021802252,D021802559
814,D021800298,D021802252,D021802600
814,D021800298,D021802252,D021802716
814,D021800298,D021802252,D021802723
814,D021800298,D021802252,D021802929
814,D021800298,D021802252,D021802959
814,D021800298,D021802600,D021800026
814,D021800298,D021802600,D021800298
814,D021800298,D021802600,D021800843
814,D021800298,D021802600,D021801252
814,D021800298,D021802600,D021801680
814,D021800298,D021802600,D021802116
814,D021800298,D021802600,D021802192
814,D021800298,D021802600,D021802252
814,D021800298,D021802600,D021802315
814,D021800298,D021802600,D021802559
814,D021800298,D021802600,D021802600
814,D021800298,D021802600,D021802716
814,D021800298,D021802600,D021802723
814,D021800298,D021802600,D021802929
814,D021800298,D021802600,D021802959
814,D021800298,D021802723,D021800026
814,D021800298,D021802723,D021800298
814,D021800298,D021802723,D021800843
814,D021800298,D021802723,D021801252
814,D021800298,D021802723,D021801680
814,D021800298,D021802723,D021802116
814,D021800298,D021802723,D021802192
814,D021800298,D021802723,D021802252
814,D021800298,D021802723,D021802315
814,D021800298,D021802723,D021802559
814,D021800298,D021802723,D021802600
814,D021800298,D021802723,D021802716
814,D021800298,D021802723,D021802723
814,D021800298,D021802723,D021802929
814,D021800298,D021802723,D021802959
814,D021802600,D021800026,D021800026
814,D021802600,D021800026,D021800298
814,D021802600,D021800026,D021800843
814,D021802600,D021800026,D021801252
814,D021802600,D021800026,D021801680
814,D021802600,D021800026,D021802116
814,D021802600,D021800026,D021802192
814,D021802600,D021800026,D021802252
814,D021802600,D021800026,D021802315
814,D021802600,D021800026,D021802559
814,D021802600,D021800026,D021802600
814,D021802600,D021800026,D021802716
814,D021802600,D021800026,D021802723
814,D021802600,D021800026,D021802929
814,D021802600,D021800026,D021802959
814,D021802600,D021800298,D021800026
814,D021802600,D021800298,D021800298
814,D021802600,D021800298,D021800843
814,D021802600,D021800298,D021801252
814,D021802600,D021800298,D021801680
814,D021802600,D021800298,D021802116
814,D021802600,D021800298,D021802192
814,D021802600,D021800298,D021802252
814,D021802600,D021800298,D021802315
814,D021802600,D021800298,D021802559
814,D021802600,D021800298,D021802600
814,D021802600,D021800298,D021802716
814,D021802600,D021800298,D021802723
814,D021802600,D021800298,D021802929
814,D021802600,D021800298,D021802959
814,D021802600,D021800843,D021800026
814,D021802600,D021800843,D021800298
814,D021802600,D021800843,D021800843
814,D021802600,D021800843,D021801252
814,D021802600,D021800843,D021801680
814,D021802600,D021800843,D021802116
814,D021802600,D021800843,D021802192
814,D021802600,D021800843,D021802252
814,D021802600,D021800843,D021802315
814,D021802600,D021800843,D021802559
814,D021802600,D021800843,D021802600
814,D021802600,D021800843,D021802716
814,D021802600,D021800843,D021802723
814,D021802600,D021800843,D021802929
814,D021802600,D021800843,D021802959
814,D021802600,D021802116,D021800026
814,D021802600,D021802116,D021800298
814,D021802600,D021802116,D021800843
814,D021802600,D021802116,D021801252
814,D021802600,D021802116,D021801680
814,D021802600,D021802116,D021802116
814,D021802600,D021802116,D021802192
814,D021802600,D021802116,D021802252
814,D021802600,D021802116,D021802315
814,D021802600,D021802116,D021802559
814,D021802600,D021802116,D021802600
814,D021802600,D021802116,D021802716
814,D021802600,D021802116,D021802723
814,D021802600,D021802116,D021802929
814,D021802600,D021802116,D021802959
814,D021802600,D021802252,D021800026
814,D021802600,D021802252,D021800298
814,D021802600,D021802252,D021800843
814,D021802600,D021802252,D021801252
814,D021802600,D021802252,D021801680
814,D021802600,D021802252,D021802116
814,D021802600,D021802252,D021802192
814,D021802600,D021802252,D021802252
814,D021802600,D021802252,D021802315
814,D021802600,D021802252,D021802559
814,D021802600,D021802252,D021802600
814,D021802600,D021802252,D021802716
814,D021802600,D021802252,D021802723
814,D021802600,D021802252,D021802929
814,D021802600,D021802252,D021802959
814,D021802600,D021802600,D021800026
814,D021802600,D021802600,D021800298
814,D021802600,D021802600,D021800843
814,D021802600,D021802600,D021801252
814,D021802600,D021802600,D021801680
814,D021802600,D021802600,D021802116
814,D021802600,D021802600,D021802192
814,D021802600,D021802600,D021802252
814,D021802600,D021802600,D021802315
814,D021802600,D021802600,D021802559
814,D021802600,D021802600,D021802600
814,D021802600,D021802600,D021802716
814,D021802600,D021802600,D021802723
814,D021802600,D021802600,D021802929
814,D021802600,D021802600,D021802959
814,D021802600,D021802723,D021800026
814,D021802600,D021802723,D021800298
814,D021802600,D021802723,D021800843
814,D021802600,D021802723,D021801252
814,D021802600,D021802723,D021801680
814,D021802600,D021802723,D021802116
814,D021802600,D021802723,D021802192
814,D021802600,D021802723,D021802252
814,D021802600,D021802723,D021802315
814,D021802600,D021802723,D021802559
814,D021802600,D021802723,D021802600
814,D021802600,D021802723,D021802716
814,D021802600,D021802723,D021802723
814,D021802600,D021802723,D021802929
814,D021802600,D021802723,D021802959
571,D021800070,D021800070,D021800070
571,D021800070,D021800070,D021800183
571,D021800070,D021800070,D021801375
571,D021800070,D021800070,D021801546
571,D021800070,D021800070,D021802918
571,D021800070,D021800070,D021802973
638,D021800070,D021800070,D021800070
638,D021800070,D021800070,D021800183
638,D021800070,D021800070,D021801375
638,D021800070,D021800070,D021801546
638,D021800070,D021800070,D021802918
638,D021800070,D021800070,D021802973
622,D021800097,D021800029,D021800015
622,D021800097,D021800029,D021800029
622,D021800097,D021800029,D021800097
622,D021800097,D021800029,D021800242
622,D021800097,D021800029,D021800248
622,D021800097,D021800029,D021800605
622,D021800097,D021800029,D021800871
622,D021800097,D021800029,D021801307
622,D021800097,D021800029,D021801398
622,D021800097,D021800029,D021801899
622,D021800097,D021800029,D021802063
622,D021800097,D021800029,D021802127
622,D021800097,D021800029,D021802284
622,D021800097,D021800029,D021802368
622,D021800097,D021800029,D021802791
622,D021800097,D021800029,D021802810
622,D021800097,D021800097,D021800015
622,D021800097,D021800097,D021800029
622,D021800097,D021800097,D021800097
622,D021800097,D021800097,D021800242
622,D021800097,D021800097,D021800248
622,D021800097,D021800097,D021800605
622,D021800097,D021800097,D021800871
622,D021800097,D021800097,D021801307
622,D021800097,D021800097,D021801398
622,D021800097,D021800097,D021801899
622,D021800097,D021800097,D021802063
622,D021800097,D021800097,D021802127
622,D021800097,D021800097,D021802284
622,D021800097,D021800097,D021802368
622,D021800097,D021800097,D021802791
622,D021800097,D021800097,D021802810
622,D021800097,D021800242,D021800015
622,D021800097,D021800242,D021800029
622,D021800097,D021800242,D021800097
622,D021800097,D021800242,D021800242
622,D021800097,D021800242,D021800248
622,D021800097,D021800242,D021800605
622,D021800097,D021800242,D021800871
622,D021800097,D021800242,D021801307
622,D021800097,D021800242,D021801398
622,D021800097,D021800242,D021801899
622,D021800097,D021800242,D021802063
622,D021800097,D021800242,D021802127
622,D021800097,D021800242,D021802284
622,D021800097,D021800242,D021802368
622,D021800097,D021800242,D021802791
622,D021800097,D021800242,D021802810
622,D021800097,D021800248,D021800015
622,D021800097,D021800248,D021800029
622,D021800097,D021800248,D021800097
622,D021800097,D021800248,D021800242
622,D021800097,D021800248,D021800248
622,D021800097,D021800248,D021800605
622,D021800097,D021800248,D021800871
622,D021800097,D021800248,D021801307
622,D021800097,D021800248,D021801398
622,D021800097,D021800248,D021801899
622,D021800097,D021800248,D021802063
622,D021800097,D021800248,D021802127
622,D021800097,D021800248,D021802284
622,D021800097,D021800248,D021802368
622,D021800097,D021800248,D021802791
622,D021800097,D021800248,D021802810
622,D021800097,D021802063,D021800015
622,D021800097,D021802063,D021800029
622,D021800097,D021802063,D021800097
622,D021800097,D021802063,D021800242
622,D021800097,D021802063,D021800248
622,D021800097,D021802063,D021800605
622,D021800097,D021802063,D021800871
622,D021800097,D021802063,D021801307
622,D021800097,D021802063,D021801398
622,D021800097,D021802063,D021801899
622,D021800097,D021802063,D021802063
622,D021800097,D021802063,D021802127
622,D021800097,D021802063,D021802284
622,D021800097,D021802063,D021802368
622,D021800097,D021802063,D021802791
622,D021800097,D021802063,D021802810
622,D021800097,D021802284,D021800015
622,D021800097,D021802284,D021800029
622,D021800097,D021802284,D021800097
622,D021800097,D021802284,D021800242
622,D021800097,D021802284,D021800248
622,D021800097,D021802284,D021800605
622,D021800097,D021802284,D021800871
622,D021800097,D021802284,D021801307
622,D021800097,D021802284,D021801398
622,D021800097,D021802284,D021801899
622,D021800097,D021802284,D021802063
622,D021800097,D021802284,D021802127
622,D021800097,D021802284,D021802284
622,D021800097,D021802284,D021802368
622,D021800097,D021802284,D021802791
622,D021800097,D021802284,D021802810
622,D021800097,D021802791,D021800015
622,D021800097,D021802791,D021800029
622,D021800097,D021802791,D021800097
622,D021800097,D021802791,D021800242
622,D021800097,D021802791,D021800248
622,D021800097,D021802791,D021800605
622,D021800097,D021802791,D021800871
622,D021800097,D021802791,D021801307
622,D021800097,D021802791,D021801398
622,D021800097,D021802791,D021801899
622,D021800097,D021802791,D021802063
622,D021800097,D021802791,D021802127
622,D021800097,D021802791,D021802284
622,D021800097,D021802791,D021802368
622,D021800097,D021802791,D021802791
622,D021800097,D021802791,D021802810
622,D021800242,D021800029,D021800015
622,D021800242,D021800029,D021800029
622,D021800242,D021800029,D021800097
622,D021800242,D021800029,D021800242
622,D021800242,D021800029,D021800248
622,D021800242,D021800029,D021800605
622,D021800242,D021800029,D021800871
622,D021800242,D021800029,D021801307
622,D021800242,D021800029,D021801398
622,D021800242,D021800029,D021801899
622,D021800242,D021800029,D021802063
622,D021800242,D021800029,D021802127
622,D021800242,D021800029,D021802284
622,D021800242,D021800029,D021802368
622,D021800242,D021800029,D021802791
622,D021800242,D021800029,D021802810
622,D021800242,D021800097,D021800015
622,D021800242,D021800097,D021800029
622,D021800242,D021800097,D021800097
622,D021800242,D021800097,D021800242
622,D021800242,D021800097,D021800248
622,D021800242,D021800097,D021800605
622,D021800242,D021800097,D021800871
622,D021800242,D021800097,D021801307
622,D021800242,D021800097,D021801398
622,D021800242,D021800097,D021801899
622,D021800242,D021800097,D021802063
622,D021800242,D021800097,D021802127
622,D021800242,D021800097,D021802284
622,D021800242,D021800097,D021802368
622,D021800242,D021800097,D021802791
622,D021800242,D021800097,D021802810
622,D021800242,D021800242,D021800015
622,D021800242,D021800242,D021800029
622,D021800242,D021800242,D021800097
622,D021800242,D021800242,D021800242
622,D021800242,D021800242,D021800248
622,D021800242,D021800242,D021800605
622,D021800242,D021800242,D021800871
622,D021800242,D021800242,D021801307
622,D021800242,D021800242,D021801398
622,D021800242,D021800242,D021801899
622,D021800242,D021800242,D021802063
622,D021800242,D021800242,D021802127
622,D021800242,D021800242,D021802284
622,D021800242,D021800242,D021802368
622,D021800242,D021800242,D021802791
622,D021800242,D021800242,D021802810
622,D021800242,D021800248,D021800015
622,D021800242,D021800248,D021800029
622,D021800242,D021800248,D021800097
622,D021800242,D021800248,D021800242
622,D021800242,D021800248,D021800248
622,D021800242,D021800248,D021800605
622,D021800242,D021800248,D021800871
622,D021800242,D021800248,D021801307
622,D021800242,D021800248,D021801398
622,D021800242,D021800248,D021801899
622,D021800242,D021800248,D021802063
622,D021800242,D021800248,D021802127
622,D021800242,D021800248,D021802284
622,D021800242,D021800248,D021802368
622,D021800242,D021800248,D021802791
622,D021800242,D021800248,D021802810
622,D021800242,D021802063,D021800015
622,D021800242,D021802063,D021800029
622,D021800242,D021802063,D021800097
622,D021800242,D021802063,D021800242
622,D021800242,D021802063,D021800248
622,D021800242,D021802063,D021800605
622,D021800242,D021802063,D021800871
622,D021800242,D021802063,D021801307
622,D021800242,D021802063,D021801398
622,D021800242,D021802063,D021801899
622,D021800242,D021802063,D021802063
622,D021800242,D021802063,D021802127
622,D021800242,D021802063,D021802284
622,D021800242,D021802063,D021802368
622,D021800242,D021802063,D021802791
622,D021800242,D021802063,D021802810
622,D021800242,D021802284,D021800015
622,D021800242,D021802284,D021800029
622,D021800242,D021802284,D021800097
622,D021800242,D021802284,D021800242
622,D021800242,D021802284,D021800248
622,D021800242,D021802284,D021800605
622,D021800242,D021802284,D021800871
622,D021800242,D021802284,D021801307
622,D021800242,D021802284,D021801398
622,D021800242,D021802284,D021801899
622,D021800242,D021802284,D021802063
622,D021800242,D021802284,D021802127
622,D021800242,D021802284,D021802284
622,D021800242,D021802284,D021802368
622,D021800242,D021802284,D021802791
622,D021800242,D021802284,D021802810
622,D021800242,D021802791,D021800015
622,D021800242,D021802791,D021800029
622,D021800242,D021802791,D021800097
622,D021800242,D021802791,D021800242
622,D021800242,D021802791,D021800248
622,D021800242,D021802791,D021800605
622,D021800242,D021802791,D021800871
622,D021800242,D021802791,D021801307
622,D021800242,D021802791,D021801398
622,D021800242,D021802791,D021801899
622,D021800242,D021802791,D021802063
622,D021800242,D021802791,D021802127
622,D021800242,D021802791,D021802284
622,D021800242,D021802791,D021802368
622,D021800242,D021802791,D021802791
622,D021800242,D021802791,D021802810
622,D021802284,D021800029,D021800015
622,D021802284,D021800029,D021800029
622,D021802284,D021800029,D021800097
622,D021802284,D021800029,D021800242
622,D021802284,D021800029,D021800248
622,D021802284,D021800029,D021800605
622,D021802284,D021800029,D021800871
622,D021802284,D021800029,D021801307
622,D021802284,D021800029,D021801398
622,D021802284,D021800029,D021801899
622,D021802284,D021800029,D021802063
622,D021802284,D021800029,D021802127
622,D021802284,D021800029,D021802284
622,D021802284,D021800029,D021802368
622,D021802284,D021800029,D021802791
622,D021802284,D021800029,D021802810
622,D021802284,D021800097,D021800015
622,D021802284,D021800097,D021800029
622,D021802284,D021800097,D021800097
622,D021802284,D021800097,D021800242
622,D021802284,D021800097,D021800248
622,D021802284,D021800097,D021800605
622,D021802284,D021800097,D021800871
622,D021802284,D021800097,D021801307
622,D021802284,D021800097,D021801398
622,D021802284,D021800097,D021801899
622,D021802284,D021800097,D021802063
622,D021802284,D021800097,D021802127
622,D021802284,D021800097,D021802284
622,D021802284,D021800097,D021802368
622,D021802284,D021800097,D021802791
622,D021802284,D021800097,D021802810
622,D021802284,D021800242,D021800015
622,D021802284,D021800242,D021800029
622,D021802284,D021800242,D021800097
622,D021802284,D021800242,D021800242
622,D021802284,D021800242,D021800248
622,D021802284,D021800242,D021800605
