record_id,Placa,Veículo,Tipo de Veículo,driverVeiculo_id
aa764c6f-0427-4cae-b670-76784831d35e,,Bicicleta,Bicicleta,561a6abf-6fb1-4970-aed6-563abbdaa50b
aa764c6f-0427-4cae-b670-76784831d35e,,Auto,Automóvel,32f21a14-32ef-443f-8adf-a9431d4a0e74
d8ee88fc-5370-4ec4-b446-585885a47d9b,,Bicicleta,Bicicleta,32e5856a-8c4b-4847-809a-180394592195
d8ee88fc-5370-4ec4-b446-585885a47d9b,,Moto,Motocicleta,1cbf70de-dd61-48c4-8bf4-5d5b81646f5d
e72118d2-d5ea-49f3-b855-9921133a2b1e,,Auto,Automóvel,552f8139-12e8-4e66-97b0-2e206ea1ec7a
e72118d2-d5ea-49f3-b855-9921133a2b1e,,Bicicleta,Bicicleta,c3fe16da-1115-4c7e-b00c-274e8262c459
2ce95055-5b50-49c3-a07e-6127b8421cdc,,Auto,Automóvel,9bc38fa1-3d60-47bc-aed3-e3c57b193033
2ce95055-5b50-49c3-a07e-6127b8421cdc,,Bicicleta,Bicicleta,9de292d4-554e-4991-b8b6-08b9c26ed83c
bcdf44c1-471e-4c5d-8119-8ed8e0c60032,,Bicicleta,Bicicleta,0f596cda-7630-44b8-87dc-e729c30e7a57
bcdf44c1-471e-4c5d-8119-8ed8e0c60032,,Auto,Automóvel,b26c93f3-eb5a-43db-b359-911cde7ff947
c4273f71-2fb6-47a8-8d1d-253d092e816a,,Bicicleta,Bicicleta,7d7ec3fa-0e84-4f1a-be8d-77336e01f608
c4273f71-2fb6-47a8-8d1d-253d092e816a,,Auto,Automóvel,d4f1a5c0-61af-4d78-824f-46ab8a1e7bcb
88602bbb-5fbf-49e0-afdf-3b21917b81cf,,Auto,Automóvel,8fa27dda-37ba-4bff-872f-bd7dc7eeb31e
88602bbb-5fbf-49e0-afdf-3b21917b81cf,,Bicicleta,Bicicleta,bb57f9ee-5da8-451a-90b0-6a87a5b483dc
e5be19af-1e6e-4fc2-a840-e527b9052037,,Moto,Motocicleta,69139b06-286e-48ca-a889-35da9208e61f
e5be19af-1e6e-4fc2-a840-e527b9052037,,Bicicleta,Bicicleta,c22448b0-e4c7-47f9-95aa-dfd4bd7d2a20
1fd8e9e1-9da0-4363-ade7-4c0795bf90e1,,Bicicleta,Bicicleta,50275c03-4b09-4ed0-859a-ca3b845e09d6
1fd8e9e1-9da0-4363-ade7-4c0795bf90e1,,Auto,Automóvel,f5924c28-817d-42cb-8e81-b09ca6007926
4590167f-6876-4758-b60a-ea477b87ff31,,Auto,Automóvel,5939b12b-6363-4466-b07b-eebf6e38a590
