,id_acidente,latitude,longitude,endereco1,endereco2,data,cod_acid,tipo_acid,feridas,mortas,automovel,caminhonete,carreta,jipe,bicicleta,moto,moto_taxi,micro_onibus,onibus,onibus_urbano,onibus_fretado,caminhao,van,vuc,outros,carroca,sem_informacao
22612,D021700001,-23.57098,-46.7111,AV VITAL BRASIL,nan,2017-02-04 13:40:00,4,nan,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22613,D021700002,-23.45784,-46.59617,RUA MARIA AMALIA LOPES AZEVEDO,nan,2017-02-04 02:25:00,2,nan,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22614,D021700003,-23.605970000000003,-46.66905,AV PAVAO,nan,2017-02-06 16:07:00,4,nan,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22615,D021700004,-23.67269,-46.71217,AV ATLANTICA ANT. ROBERT KENNEDY,RUA DOS INOCENTES,2017-02-03 10:30:00,4,nan,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22616,D021700005,-23.580470000000002,-46.50465,AV PAST CICERO CANUTO DE LIMA,nan,2017-02-16 19:14:00,2,nan,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22617,D021700006,-23.51237,-46.388870000000004,RUA MAGNOLIA AZUL,nan,2017-02-13 17:19:00,4,nan,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22618,D021700007,-23.74389,-46.66515,RUA FRANCISCO INACIO SOLANO,nan,2017-02-03 18:30:00,4,nan,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22619,D021700008,-23.539070000000002,-46.754290000000005,AV PRES ALTINO,AV ENG ALEXANDRE MACKENZIE,2017-02-23 14:10:00,2,nan,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22620,D021700009,-23.50829,-46.54237,RUA DR ASSIS RIBEIRO,nan,2017-02-01 13:32:00,4,nan,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22621,D021700010,-23.466910000000002,-46.63213,AV STA INES,nan,2017-02-19 05:50:00,2,nan,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22622,D021700011,-23.54488,-46.63105,VIADUTO DIARIO POPULAR,nan,2017-02-10 18:00:00,2,nan,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
22623,D021700012,-23.44576,-46.704390000000004,AV DEP CANTIDIO SAMPAIO,nan,2017-02-02 05:20:00,2,nan,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22624,D021700013,-23.5054,-46.38868,RUA ITAJUIBE,nan,2017-02-12 19:00:00,2,nan,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22625,D021700014,-23.48551,-46.72357,AV RAIMUNDO PEREIRA DE MAGAL.,nan,2017-02-05 05:00:00,2,nan,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22626,D021700015,-23.60752,-46.653459999999995,AV INDIANOPOLIS,nan,2017-02-12 23:00:00,2,nan,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22627,D021700016,-23.55617,-46.53351,RUA TAUBATE,RUA XIRIRICA,2017-02-17 20:13:00,2,nan,4,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22628,D021700017,-23.652620000000002,-46.66312,AV JOAO BARRETO DE MENEZES,nan,2017-02-06 08:45:00,4,nan,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22629,D021700018,-23.421310000000002,-46.79473,VIA ANHANGUERA,nan,2017-02-24 07:40:00,2,nan,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22630,D021700019,-23.81154,-46.66489,AV PAULO GUILGUER REIMBERG,nan,2017-02-15 14:30:00,2,nan,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22631,D021700020,-23.64864,-46.6621,AV STA CATARINA,nan,2017-02-05 13:17:00,4,nan,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22632,D021700021,-23.63733,-46.59373,VIA ANCHIETA,RUA EPIACABA,2017-02-05 20:30:00,2,nan,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22633,D021700022,-23.61788,-46.67549,AV VER JOSE DINIZ,RUA PASCAL,2017-02-11 09:06:00,4,nan,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22634,D021700023,-23.47188,-46.69325,RUA MAEST ERLON CHAVES,nan,2017-02-01 13:00:00,4,nan,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22635,D021700024,-23.5034,-46.3971,RUA TIBURCIO DE SOUSA,nan,2017-02-21 17:00:00,2,nan,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
22636,D021700025,-23.50596,-46.52961,RUA MIGUEL GARCIA,AV CANGAIBA,2017-02-08 00:54:00,2,nan,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22637,D021700026,-23.637829999999997,-46.60502,RUA FRANCISCO PESTANA,nan,2017-02-13 02:30:00,2,nan,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22638,D021700027,-23.49616,-46.72195,RUA CHARLES SILVER,nan,2017-02-17 09:00:00,2,nan,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22639,D021700028,-23.5858,-46.589259999999996,AV PROF LUIZ IGNACIO ANHAIA MELLO,RUA DIANOPOLIS,2017-02-28 16:16:00,2,nan,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
22640,D021700029,-23.64904,-46.7493,ESTRADA DE ITAPECERICA,nan,2017-02-04 18:20:00,4,nan,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22641,D021700030,-23.49354,-46.41476,AV ESTRELA DA NOITE,nan,2017-02-02 21:33:00,2,nan,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22642,D021700031,-23.553810000000002,-46.39411,RUA RAPOSO DA FONSECA,nan,2017-02-01 15:15:00,2,nan,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22643,D021700032,-23.56847,-46.58217,AV DR JOSE HIGINO,nan,2017-02-12 00:23:00,2,nan,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22644,D021700033,-23.60126,-46.52451,AV PROF LUIZ IGNACIO ANHAIA MELLO,nan,2017-02-03 01:00:00,2,nan,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22645,D021700034,-23.49541,-46.6769,AV DEP EMILIO CARLOS,nan,2017-02-09 06:02:00,2,nan,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22646,D021700035,-23.59396,-46.554840000000006,RUA JOSE MACEDO,nan,2017-02-19 01:00:00,2,nan,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22647,D021700036,-23.5717,-46.64767,RUA TEIXEIRA DA SILVA,nan,2017-02-23 07:13:00,2,nan,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22648,D021700037,-23.585520000000002,-46.505,AV ARRAIAS DO ARAGUAIA,nan,2017-02-25 10:00:00,2,nan,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
