,id_radar,n_acidentes100,n_acidentes250,n_acidentes500,n_acidentes1000,n_acidentes2000
0,16,1.0,1.0,1.0,3.0,8
1,78,1.0,3.0,4.0,6.0,19
2,81,1.0,1.0,4.0,4.0,18
3,117,1.0,1.0,2.0,5.0,21
4,144,1.0,1.0,2.0,9.0,34
5,157,1.0,1.0,1.0,3.0,15
6,185,1.0,1.0,2.0,6.0,18
7,190,1.0,2.0,3.0,13.0,27
8,191,1.0,2.0,3.0,13.0,27
9,196,1.0,2.0,5.0,9.0,19
10,199,1.0,1.0,2.0,6.0,21
11,227,1.0,1.0,1.0,3.0,13
12,228,1.0,1.0,1.0,1.0,14
13,229,1.0,1.0,4.0,7.0,17
14,232,1.0,1.0,4.0,7.0,18
15,268,1.0,1.0,2.0,6.0,13
16,269,1.0,1.0,1.0,3.0,15
17,277,1.0,1.0,1.0,4.0,9
18,278,1.0,1.0,2.0,4.0,9
19,290,1.0,2.0,3.0,3.0,14
20,293,1.0,1.0,2.0,6.0,13
21,299,1.0,3.0,5.0,14.0,38
22,304,1.0,1.0,2.0,10.0,35
23,307,1.0,1.0,10.0,18.0,39
24,311,3.0,3.0,4.0,5.0,15
25,312,3.0,3.0,4.0,5.0,15
26,317,1.0,1.0,1.0,5.0,19
27,324,2.0,4.0,8.0,17.0,38
28,333,1.0,1.0,2.0,6.0,23
29,337,1.0,1.0,3.0,7.0,17
30,338,1.0,2.0,3.0,9.0,34
31,349,1.0,1.0,2.0,8.0,27
32,353,2.0,2.0,2.0,4.0,20
33,354,1.0,2.0,2.0,4.0,20
34,359,1.0,1.0,2.0,7.0,23
35,360,1.0,1.0,2.0,6.0,25
36,385,1.0,1.0,2.0,4.0,24
37,406,1.0,1.0,1.0,4.0,11
38,420,2.0,2.0,2.0,3.0,19
39,421,1.0,1.0,2.0,5.0,12
40,446,1.0,2.0,2.0,3.0,4
41,481,6.0,7.0,8.0,12.0,25
42,486,1.0,1.0,4.0,6.0,18
43,506,1.0,2.0,4.0,4.0,11
44,507,1.0,2.0,4.0,4.0,11
45,511,1.0,2.0,3.0,5.0,16
46,515,1.0,1.0,1.0,2.0,19
47,516,1.0,1.0,1.0,2.0,19
48,541,2.0,2.0,2.0,3.0,9
49,544,1.0,1.0,3.0,5.0,13
50,546,1.0,2.0,4.0,6.0,24
51,547,1.0,2.0,3.0,6.0,24
52,550,1.0,1.0,2.0,6.0,35
53,560,1.0,1.0,2.0,8.0,18
54,563,1.0,1.0,2.0,8.0,18
55,587,1.0,3.0,4.0,6.0,25
56,594,1.0,1.0,3.0,9.0,18
57,642,1.0,1.0,1.0,5.0,20
58,653,1.0,1.0,1.0,1.0,13
59,658,1.0,1.0,3.0,6.0,20
60,665,2.0,2.0,2.0,3.0,9
61,669,1.0,1.0,2.0,4.0,15
62,672,1.0,1.0,1.0,8.0,21
63,690,1.0,1.0,2.0,6.0,16
64,692,2.0,2.0,2.0,8.0,33
65,701,1.0,1.0,2.0,3.0,16
66,711,1.0,1.0,1.0,3.0,13
67,716,1.0,1.0,2.0,4.0,11
68,723,1.0,3.0,4.0,5.0,17
69,741,1.0,1.0,1.0,1.0,3
70,743,1.0,2.0,5.0,8.0,16
71,773,1.0,1.0,1.0,4.0,16
72,793,1.0,1.0,2.0,4.0,9
73,820,1.0,2.0,3.0,7.0,15
74,823,1.0,1.0,2.0,4.0,9
75,826,1.0,1.0,1.0,1.0,4
76,830,1.0,1.0,1.0,3.0,12
77,834,1.0,1.0,1.0,4.0,8
78,844,1.0,1.0,2.0,6.0,15
79,845,1.0,3.0,3.0,8.0,11
80,852,1.0,1.0,8.0,13.0,25
81,867,6.0,7.0,8.0,12.0,25
82,888,1.0,2.0,2.0,3.0,14
83,7,0.0,1.0,1.0,4.0,14
84,8,0.0,1.0,1.0,3.0,14
85,14,0.0,1.0,4.0,5.0,24
86,17,0.0,1.0,1.0,3.0,9
87,20,0.0,1.0,1.0,4.0,20
88,22,0.0,3.0,3.0,6.0,25
89,25,0.0,1.0,1.0,6.0,17
90,31,0.0,2.0,2.0,4.0,10
91,35,0.0,1.0,2.0,4.0,20
92,41,0.0,1.0,1.0,2.0,7
93,42,0.0,2.0,3.0,6.0,16
94,43,0.0,2.0,3.0,5.0,16
95,47,0.0,2.0,2.0,4.0,10
96,48,0.0,1.0,3.0,4.0,14
97,49,0.0,3.0,3.0,7.0,25
98,50,0.0,3.0,3.0,7.0,25
99,51,0.0,1.0,3.0,6.0,21
100,62,0.0,1.0,1.0,11.0,21
101,67,0.0,1.0,1.0,4.0,14
102,69,0.0,1.0,1.0,1.0,8
103,72,0.0,1.0,2.0,7.0,19
104,74,0.0,1.0,2.0,7.0,19
105,84,0.0,1.0,4.0,6.0,20
106,85,0.0,1.0,2.0,13.0,26
107,92,0.0,1.0,1.0,6.0,24
108,93,0.0,1.0,3.0,5.0,21
109,116,0.0,1.0,1.0,6.0,20
110,119,0.0,1.0,1.0,2.0,7
111,120,0.0,1.0,1.0,2.0,7
112,129,0.0,2.0,4.0,7.0,18
113,133,0.0,1.0,3.0,6.0,21
114,141,0.0,1.0,3.0,6.0,13
115,143,0.0,1.0,1.0,3.0,16
116,146,0.0,1.0,2.0,7.0,18
117,148,0.0,1.0,1.0,4.0,20
118,150,0.0,1.0,1.0,2.0,6
119,153,0.0,1.0,1.0,1.0,6
120,154,0.0,1.0,1.0,2.0,10
121,156,0.0,2.0,4.0,6.0,16
122,163,0.0,1.0,2.0,4.0,22
123,165,0.0,1.0,3.0,12.0,25
124,177,0.0,1.0,2.0,8.0,25
125,178,0.0,1.0,3.0,5.0,21
126,180,0.0,1.0,1.0,3.0,20
127,184,0.0,1.0,1.0,4.0,18
128,187,0.0,1.0,5.0,8.0,18
129,197,0.0,1.0,4.0,6.0,21
130,205,0.0,1.0,1.0,2.0,6
131,206,0.0,1.0,3.0,6.0,19
132,207,0.0,6.0,8.0,13.0,25
133,208,0.0,6.0,8.0,13.0,25
134,212,0.0,1.0,2.0,6.0,19
135,215,0.0,1.0,1.0,2.0,6
136,220,0.0,1.0,1.0,8.0,27
137,226,0.0,1.0,1.0,1.0,16
138,233,0.0,1.0,3.0,6.0,16
139,238,0.0,1.0,1.0,2.0,12
140,239,0.0,1.0,1.0,5.0,23
141,241,0.0,2.0,3.0,4.0,13
142,247,0.0,1.0,3.0,8.0,25
143,256,0.0,1.0,2.0,7.0,26
144,258,0.0,1.0,2.0,14.0,44
145,259,0.0,1.0,2.0,5.0,14
146,260,0.0,1.0,2.0,14.0,45
147,261,0.0,1.0,1.0,5.0,22
148,262,0.0,1.0,2.0,6.0,19
149,264,0.0,1.0,1.0,6.0,13
150,270,0.0,1.0,2.0,4.0,28
151,273,0.0,1.0,3.0,10.0,36
152,280,0.0,1.0,4.0,10.0,36
153,283,0.0,1.0,3.0,9.0,27
154,285,0.0,1.0,3.0,6.0,38
155,286,0.0,2.0,3.0,6.0,31
156,288,0.0,2.0,3.0,3.0,14
157,292,0.0,1.0,2.0,6.0,22
158,296,0.0,2.0,3.0,14.0,34
159,298,0.0,1.0,3.0,15.0,42
160,302,0.0,2.0,6.0,11.0,49
161,308,0.0,1.0,5.0,8.0,24
162,310,0.0,2.0,3.0,15.0,41
163,314,0.0,1.0,1.0,4.0,12
164,315,0.0,1.0,2.0,4.0,12
165,321,0.0,1.0,1.0,3.0,11
166,326,0.0,1.0,2.0,9.0,30
167,329,0.0,1.0,2.0,4.0,24
168,332,0.0,1.0,1.0,5.0,18
169,336,0.0,1.0,3.0,6.0,19
170,352,0.0,1.0,3.0,7.0,29
