,id_acidente,latitude,longitude,endereco1,endereco2,data,cod_acid,tipo_acid,feridas,mortas,automovel,caminhonete,carreta,jipe,bicicleta,moto,moto_taxi,micro_onibus,onibus,onibus_urbano,onibus_fretado,caminhao,van,vuc,outros,carroca,sem_informacao
22508,D021601373,-23.72208,-46.78503,ESTRADA M'BOI MIRIM,nan,2016-02-15 16:10:00,2,Colisao,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
22509,D021601374,-23.58183,-46.41035,AV DOS METALURGICOS,nan,2016-02-17 15:30:00,4,Atropelamento,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22510,D021601375,-23.53315,-46.5664,AV CELSO GARCIA,nan,2016-02-12 08:30:00,4,Atropelamento,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22511,D021601376,-23.60979,-46.64177,AV GUARUJA,nan,2016-02-22 02:00:00,4,Atropelamento,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22512,D021601377,-23.67896,-46.779070000000004,RUA HENRIQUE SAM MINDLIN,nan,2016-02-24 08:28:00,2,Sem Informacao,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22513,D021601378,-23.77238,-46.72032,AV SADAMU INOUE,nan,2016-02-04 14:34:00,2,Queda ocupante dentro,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22514,D021601379,-23.5087,-46.494,AV S MIGUEL,nan,2016-02-29 10:00:00,2,Queda ocupante dentro,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22515,D021601380,-23.489179999999998,-46.57432,PRACA LOURENCO DE BELLIS,nan,2016-02-05 17:00:00,2,Sem Informacao,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22516,D021601381,-23.50639,-46.38537,AV TOME DIAS LACO,nan,2016-02-22 22:05:00,2,Colisao frontal,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22517,D021601382,-23.51661,-46.698440000000005,PRACA JACOMO ZANELA,nan,2016-02-19 21:30:00,2,Colisao,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
22518,D021601383,-23.567429999999998,-46.69708,RUA PAIS LEME,nan,2016-02-04 22:30:00,4,Atropelamento,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22519,D021601384,-23.53264,-46.750209999999996,RUA ANDRIES BOTH,nan,2016-02-11 12:09:00,2,Queda moto/bicicleta,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22520,D021601385,-23.46564,-46.57121,VIA FERNAO DIAS,nan,2016-02-19 22:00:00,2,Choque,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22521,D021601386,-23.49822,-46.68929,RUA ANTONIO DE COUROS,nan,2016-02-04 07:58:00,2,Queda ocupante dentro,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22522,D021601387,-23.55261,-46.4861,AV SILVIO TORRES,nan,2016-02-16 08:10:00,4,Atropelamento,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22523,D021601388,-23.556379999999997,-46.685520000000004,RUA MARIO DE ALENCAR,nan,2016-02-03 17:29:00,2,Colisao lateral,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22524,D021601389,-23.508770000000002,-46.43553,AV MOACIR DANTAS ITAPICURU,nan,2016-02-28 04:12:00,2,Colisao,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22525,D021601390,-23.71429,-46.69877,AV SEN TEOTONIO VILELA,nan,2016-02-25 09:39:00,2,Colisao frontal,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
22526,D021601391,-23.70647,-46.70163,RUA GUAIUBA,nan,2016-02-05 11:00:00,2,Colisao lateral,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22527,D021601392,-23.57785,-46.70171,AV LINEU DE PAULA MACHADO,nan,2016-02-06 08:50:00,2,Choque,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22528,D021601393,-23.48348,-46.60645,AV LUIZ DUMONT VILLARES,nan,2016-02-26 21:40:00,4,Atropelamento,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22529,D021601394,-23.60944,-46.55976,RUA S RAIMUNDO,nan,2016-02-15 07:00:00,2,Queda moto/bicicleta,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22530,D021601395,-23.53164,-46.625370000000004,AV CRUZEIRO DO SUL,nan,2016-02-29 06:22:00,2,Sem Informacao,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22531,D021601396,-23.50765,-46.533840000000005,AV CANGAIBA,RUA FAUSTINO PAGANINI,2016-02-03 16:50:00,4,Atropelamento,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22532,D021601397,-23.642870000000002,-46.64413,AV ENG GEORGE CORBISIER,nan,2016-02-19 11:00:00,2,Colisao,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22533,D021601398,-23.680429999999998,-46.73489,AV GUARAPIRANGA,nan,2016-02-12 14:37:00,2,Colisao,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22534,D021601399,-23.79366,-46.72983,AV SADAMU INOUE,nan,2016-02-19 12:30:00,2,Colisao,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22535,D021601400,-23.48907,-46.61871,RUA OUTEIRO DA CRUZ,AV LEONCIO DE MAGALHAES,2016-02-17 08:30:00,2,Colisao transversal,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22536,D021601401,-23.55189,-46.577870000000004,RUA SALIM FARAH MALUF,nan,2016-02-04 12:22:00,4,Atropelamento,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22537,D021601402,-23.47546,-46.63466,AV ZUMKELLER,nan,2016-02-08 05:30:00,2,Choque,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22538,D021601403,-23.55268,-46.749179999999996,AV PRES ALTINO,nan,2016-02-29 21:40:00,2,Queda moto/bicicleta,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
