,id_acidente,latitude,longitude,endereco1,endereco2,data,cod_acid,tipo_acid,feridas,mortas,automovel,caminhonete,carreta,jipe,bicicleta,moto,moto_taxi,micro_onibus,onibus,onibus_urbano,onibus_fretado,caminhao,van,vuc,outros,carroca,sem_informacao
23654,D021800002,-23.5911,-46.6884,AV PRES JUSCELINO KUBITSCHEK,nan,2018-02-24 07:54:00,2,Colisao,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
23655,D021800003,-23.4197,-46.5882,AV CEL SEZEFREDO FAGUNDES,nan,2018-02-22 16:34:00,2,Colisao lateral,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23656,D021800007,-23.4903,-46.4377,AV DR JOSE ARTUR NOVA,nan,2018-02-26 13:30:00,4,Atropelamento,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23657,D021800010,-23.5775,-46.6083,RUA BOM PASTOR,nan,2018-02-23 09:44:00,2,Colisao lateral,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23658,D021800011,-23.5646,-46.6078,RUA PRES ALMEIDA COUTO,RUA PRES COSTA PEREIRA,2018-02-14 17:10:00,2,Choque,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23659,D021800012,-23.5408,-46.6419,AV S JOAO,RUA AURORA,2018-02-12 12:36:00,2,Colisao transversal,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23660,D021800014,-23.6813,-46.7841,RUA GARCIA DE TOLEDO,nan,2018-02-12 20:34:00,2,Choque,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23661,D021800015,-23.5816,-46.6835,RUA IGUATEMI,nan,2018-02-15 12:00:00,2,Colisao transversal,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23662,D021800017,-23.4801,-46.6161,RUA JOSE DE ALBUQUERQUE MEDEIROS,nan,2018-02-22 12:37:00,2,Queda moto/bicicleta,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23663,D021800019,-23.4816,-46.6317,RUA VOLUNTARIOS DA PATRIA,nan,2018-02-23 18:00:00,2,Colisao transversal,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23664,D021800021,-23.4855,-46.6982,AV ELISIO TEIXEIRA LEITE,nan,2018-02-22 20:16:00,4,Atropelamento,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23665,D021800022,-23.5184,-46.4206,AV NORDESTINA,nan,2018-02-23 09:47:00,2,Colisao,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23666,D021800026,-23.636,-46.7224,AV MARGINAL DO RIO PINHEIROS (SYL,nan,2018-02-27 05:00:00,2,Colisao traseira,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23667,D021800028,-23.5073,-46.5089,RUA OURO FINO,nan,2018-02-09 12:01:00,2,Colisao traseira,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23668,D021800029,-23.5716,-46.7077,RUA PIRAJUSSARA,nan,2018-02-16 07:50:00,2,Colisao lateral,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23669,D021800030,-23.6359,-46.6699,AV WASHINGTON LUIS,nan,2018-02-24 10:30:00,2,Colisao traseira,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23670,D021800038,-23.4639,-46.6673,AV MASAO WATANABE,nan,2018-02-10 17:23:00,4,Atropelamento,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23671,D021800039,-23.7416,-46.696000000000005,RUA PEDRO MARCINEIRO,nan,2018-02-09 11:24:00,4,Atropelamento,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23672,D021800040,-23.479,-46.6323,RUA VOLUNTARIOS DA PATRIA,nan,2018-02-15 07:42:00,2,Queda ocupante dentro,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23673,D021800044,-23.6443,-46.7883,RUA NAZARE MENEZES,nan,2018-02-03 11:00:00,2,Queda ocupante fora,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23674,D021800052,-23.4995,-46.4398,AV NORDESTINA,nan,2018-02-09 07:15:00,2,Colisao lateral,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23675,D021800060,-23.5227,-46.6015,AV MARGINAL DO RIO TIETE,nan,2018-02-02 07:33:00,2,Colisao traseira,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23676,D021800061,-23.5588,-46.5681,AV REG FEIJO,nan,2018-02-03 05:30:00,4,Atropelamento,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23677,D021800062,-23.4859,-46.633,RUA AUGUSTO TOLLE,nan,2018-02-16 06:54:00,2,Colisao transversal,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23678,D021800063,-23.451999999999998,-46.6809,RUA ARATAIACU,nan,2018-02-04 14:00:00,2,Choque,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23679,D021800067,-23.5218,-46.6609,RUA JOSE GOMES FALCAO,nan,2018-02-07 16:55:00,2,Colisao transversal,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23680,D021800070,-23.5446,-46.7366,AV ENG BILLINGS,nan,2018-02-21 08:20:00,2,Colisao,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
23681,D021800071,-23.5824,-46.7382,RUA AUGUSTO FARINHA,nan,2018-02-15 09:45:00,2,Colisao,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23682,D021800074,-23.4622,-46.6376,AV STA INES,nan,2018-02-15 20:14:00,4,Atropelamento,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23683,D021800080,-23.4598,-46.676,RUA S GONCALO DO ABAETE,nan,2018-02-24 01:45:00,2,Colisao frontal,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23684,D021800081,-23.5527,-46.6787,AV PAULO VI,nan,2018-02-13 19:57:00,2,Colisao transversal,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23685,D021800084,-23.6182,-46.6777,RUA BR DO TRIUNFO,nan,2018-02-27 12:45:00,2,Colisao traseira,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23686,D021800093,-23.5231,-46.7042,RUA NSRA DA LAPA,nan,2018-02-20 10:24:00,4,Atropelamento,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23687,D021800097,-23.5714,-46.6978,AV EUSEBIO MATOSO,RUA DONA MARIA DULCE NOGUEIRA GARCEZ,2018-02-06 20:00:00,2,Colisao traseira,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23688,D021800098,-23.5215,-46.5852,RUA CARMOPOLIS DE MINAS,nan,2018-02-12 07:45:00,2,Choque,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23689,D021800099,-23.5102,-46.5408,AV CANGAIBA,nan,2018-02-16 18:05:00,4,Atropelamento,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23690,D021800101,-23.5172,-46.5747,AV ERNESTO AUGUSTO LOPES,nan,2018-02-23 22:50:00,4,Atropelamento,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23691,D021800103,-23.6734,-46.7002,AV DAS NACOES UNIDAS,nan,2018-02-10 00:20:00,2,Colisao lateral,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23692,D021800106,-23.4576,-46.748000000000005,RUA DA ASPEREZA,nan,2018-02-20 15:00:00,2,Queda moto/bicicleta,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23693,D021800108,-23.4896,-46.6505,AV IMIRIM,nan,2018-02-19 22:50:00,2,Colisao transversal,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
