gid,id,lote,codigo,endereco,sentido,referencia,tipo_equip,enquadrame,qtde_fxs_f,data_publi,velocidade,latitude_l,ligado,data_desli,motivo_des,mi_style,mi_prinx,geom,emme_gid,mdc_gid,autuacoes,contagem
624,120,1,6827,Av. Dr. Silvio de Campos,Anhanguera/Caieiras,a mais 6m do nº 193,Fixo - Grupo B,V-A-P,2,2015/06/23 00:00:00.000,40 km/h,(-46.75531000000000148 -23.40642799999999824),1,,,"Symbol (62,4718736,12,""MapInfo Transportation"",256,0)",738,0101000020E610000083452CFFAD6047C0824702AA0B6837C0,14866,168746,679164,1476
623,121,1,6828-6966,Av. Bráz Leme,Bairro/Centro,R. Comendador Joaquim Monteiro,Fixo - Grupo B,V-A-P,3,2015/08/04 00:00:00.000,50 km/h,(-46.63145479568316887 -23.50398193311217909),1,,,"Symbol (62,4718736,12,""MapInfo Transportation"",256,0)",737,0101000020E6100000B7591F83D35047C044928BF7048137C0,747,193023,590891,1098
629,122,1,6829-6967,Av. Zaki Narchi,Centro/Bairro,nº 1.250,Fixo - Grupo B,V-A-P,3,2015/08/04 00:00:00.000,50 km/h,(-46.61530044996780475 -23.50678688228767044),1,,,"Symbol (62,4718736,12,""MapInfo Transportation"",256,0)",743,0101000020E61000005B042925C24E47C07B23A1CABC8137C0,6231,54593,1211787,1412
744,123,1,6830-6968,Av. Zaki Narchi,Bairro/Centro,a menos 34m nº 1.207,Fixo - Grupo B,V-A-P,3,2015/05/11 00:00:00.000,50 km/h,(-46.61534315012392682 -23.50625553272180923),1,,,"Symbol (62,4718736,12,""MapInfo Transportation"",256,0)",861,0101000020E61000008F79B2D5C44E47C06CF44101A18137C0,6231,168819,1240405,1173
628,124,1,6831-6969,R. Curuça,Vila Guilherme/ Dutra,R. Amambai,Fixo - Grupo B,V-A-P,3,2015/05/27 00:00:00.000,50 km/h,(-46.58462664944088516 -23.51679135428653211),1,,,"Symbol (62,4718736,12,""MapInfo Transportation"",256,0)",742,0101000020E61000009860BC0FD54A47C038C4916A4C8437C0,21859,67008,925282,1272
626,125,1,6832-6962,Av. Nadir Dias de Figueredo,Marginal Tietê/ Vila Guilherme,R. Profª. Maria José B. Fernandes,Fixo - Grupo B,V-A-P,3,2015/06/18 00:00:00.000,50 km/h,(-46.59498255512772147 -23.51603787058808592),1,,,"Symbol (62,4718736,12,""MapInfo Transportation"",256,0)",740,0101000020E6100000D3A32566284C47C0278BD2101B8437C0,7650,213930,496335,2005
633,126,1,6833-6963,Av. Nadir Dias de Figueredo,Vila Guilherme/ Dutra,R. São Quirino,Fixo - Grupo B,V-A-P,3,2015/06/18 00:00:00.000,50 km/h,(-46.59521240303809009 -23.5153011809239274),1,,,"Symbol (62,4718736,12,""MapInfo Transportation"",256,0)",747,0101000020E6100000F97ECDE62F4C47C05EB2D8C3EA8337C0,1632,231352,513962,891
632,127,1,6975 - 6976,R. Drº. Zuquim,Centro/Bairro,R. Drº. Olavo Egídio,Fixo - Grupo B,V-A-P,3,2016/04/05 00:00:00.000,40 km/h,(-46.62230929939034496 -23.50008680843118469),1,,,"Symbol (62,4718736,12,""MapInfo Transportation"",256,0)",746,0101000020E61000000F6797D2A74F47C0D90DF4B3058037C0,4428,235086,1016130,2061
601,128,1,6819,Av. Raimundo Pereira de Magalhães,Bairro/Centro,nº 2.001,Fixo - Grupo B,V-A-P,2,2015/02/25 00:00:00.000,50 km/h,(-46.71914999999999907 -23.50336499999999873),1,,,"Symbol (62,4718736,12,""MapInfo Transportation"",256,0)",713,0101000020E61000004028731C0D5C47C077F35487DC8037C0,11807,110969,980367,1132
797,129,1,6936,"Marginal Tietê, Pista Central",Ayrton Senna/Castelo Branco,a Mais 35m km 5,Fixo - Grupo C,V-R-VER,5,2016/08/25 00:00:00.000,70/60 km/h,(-23.507936 -46.712790),1,,,"Symbol (62,61680,12,""MapInfo Transportation"",256,0)",914,0101000020E6100000D2ACE8E64D5B47C0A9038B89EE8137C0,9305,233810,0,0
764,130,1,6937-6938-6958-6959,"Marginal Tietê , Pista Expressa",Ayrton Senna/Castelo Branco,"a mais 223m do Km 3,5",Fixo - Grupo C,V-R-PR-MOTO,9,2016/07/01 00:00:00.000,90/60 km/h,(-46.72419210066081519 -23.51272941129318994),1,,,"Symbol (62,61680,12,""MapInfo Transportation"",256,0)",881,0101000020E6100000B6362252B25C47C0907E3D57428337C0,7607,249798,3139656,8301
763,131,1,6939-6960,Av. Marg. Direita do Tietê,Ayrton Senna/Castelo Branco,nº. 536,Fixo - Grupo C,V,9,2016/07/01 00:00:00.000,60/50 km/h,(-46.7317244477696434 -23.51664150659636476),1,,,"Symbol (62,61680,12,""MapInfo Transportation"",256,0)",880,0101000020E6100000BB888429A95D47C037D717A6428437C0,9943,239408,90678,0
760,132,1,6940-6941,"Marginal Tietê , Pista Expressa",Ayrton Senna/Castelo Branco,a menos 67m Km2,Fixo - Grupo C,V-R-MOTO-VER,7,2016/07/01 00:00:00.000,90/60 km/h,(-46.73590334655039413 -23.51725911714527228),1,,,"Symbol (62,61680,12,""MapInfo Transportation"",256,0)",877,0101000020E610000016D07612325E47C08171B2056B8437C0,3871,249900,2711030,8619
765,133,1,6934-6935,"Marginal Tietê , Pista Expressa",Ayrton Senna/Castelo Branco,Km 12,Fixo - Grupo C,V-R-VR-PR-MOTO,5,2016/07/01 00:00:00.000,90/60 km/h,(-46.64540082557628864 -23.51743420650467797),1,,,"Symbol (62,61680,12,""MapInfo Transportation"",256,0)",882,0101000020E61000003E04F2789C5247C0E7EB097D768437C0,16026,249864,2316416,11357
770,134,1,6945-6946,"Marginal Tietê , Pista Expressa",Castelo Branco/Ayrton Senna,a menos 134m da Ponte do Piqueri,Fixo - Grupo C,V-R-VER-PR-MOTO,7,2016/07/01 00:00:00.000,90/60 km/h,(-46.70725288311906809 -23.50931518268017939),1,,,"Symbol (62,61680,12,""MapInfo Transportation"",256,0)",887,0101000020E6100000CCE6D442875A47C01B65FD66628237C0,18489,249761,2885748,15462
771,135,1,6930-6931-6947-6948,"Marginal Tietê , Pista Expressa",Castelo Branco/Ayrton Senna,"a mais 218m Km 11,5",Fixo - Grupo C,V-R-PR-MOTO-VER,9,2016/07/01 00:00:00.000,90/60 km/h,(-46.6511918572978459 -23.51772963607141165),1,,,"Symbol (62,61680,12,""MapInfo Transportation"",256,0)",888,0101000020E61000006C1C14415A5347C0DD397B048A8437C0,9449,249888,1551088,7823
767,136,1,6949,"Marginal Tietê , Pista Central",Castelo Branco/Ayrton Senna,"a mais 240m Km 1,5",Fixo - Grupo C,V,5,2015/09/10 00:00:00.000,70/60 km/h,(-46.7365062873702044 -23.51848189611117945),1,,,"Symbol (62,61680,12,""MapInfo Transportation"",256,0)",884,0101000020E6100000DC73CBD4455E47C06465662CBB8437C0,17440,249715,0,0
768,137,1,6942,Av. Embaixador Macedo Soares,Castelo Branco/Ayrton Senna,nº. 8.000,Fixo - Grupo C,V,5,2016/01/15 00:00:00.000,60/50 km/h,(-46.73650661376240834 -23.51858269969529758),1,,,"Symbol (62,61680,12,""MapInfo Transportation"",256,0)",885,0101000020E6100000DC73CBD4455E47C013362CDBC18437C0,23216,83306,116485,4203
769,138,1,6943 - 6944,"Marginal Tietê , Pista Expressa",Castelo Branco/Ayrton Senna,"a mais 240m do Km 1,5",Fixo - Grupo C,V-R-VER-PR-MOTO,7,2016/01/15 00:00:00.000,90/60 km/h,(-46.73647652618014803 -23.51824452500946094),1,,,"Symbol (62,61680,12,""MapInfo Transportation"",256,0)",886,0101000020E61000009B1C3EE9445E47C0E97231A3AB8437C0,17440,200394,3282519,23643
